,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
TF,0.313012975,-0.017190283,0.244643278,0.111582475,-0.015349474,0.089237069,0.11394291,0.051702266,0.093145375,0.020453827,1,0.221677516,-0.015901353,0.020702919,0.037970473,0.013768504,0.05440962,0.058903134,0.062574188,0.068803648,0.042945897,0.054944196,0.061834817,0.056005471,0.009101463
high_EDS,0.095741601,0.01629661,0.194880598,0.097183317,0.042589346,0.10622444,0.086413873,0.092590544,0.110725564,0.063665152,0.221677516,1,-0.016523756,0.093041054,0.132848919,0.014307424,-0.014168072,-0.015045379,0.004371602,0.016782888,-0.000262798,-0.00507757,-0.009865019,-0.011757284,-0.035109807
Olfactory,-0.017865881,-0.005619417,-0.017884904,-0.004629147,-0.008564017,-0.02035658,-0.018495661,-0.012022206,-0.008226458,-0.014925528,-0.015901353,-0.016523756,1,-0.026320165,-0.019038821,0.001243619,0.051236361,0.142805489,0.142597643,0.140563696,0.138415406,0.098932292,0.135988287,0.11766954,0.138224515
Clinvar,0.052619679,0.092184825,0.230409507,0.17587834,0.081550034,0.100596575,0.055200566,0.075744553,0.297786709,0.522184339,0.020702919,0.093041054,-0.026320165,1,0.087010841,0.02278984,-0.014980237,-0.063922311,-0.058177281,-0.054799438,-0.068467194,-0.051288229,-0.054458934,-0.058897924,-0.062872129
GWAS_nearest,0.069251106,0.063934621,0.139693516,0.030572472,0.082170422,0.131525936,0.050991912,0.052583726,0.062513222,0.081811783,0.037970473,0.132848919,-0.019038821,0.087010841,1,0.024994687,-0.022422442,-0.073126719,-0.072086147,-0.067749171,-0.072752465,-0.084130627,-0.074206231,-0.067015285,-0.06445087
Universe,0.007544586,0.004865684,0.015486001,0.004008239,0.007415325,0.017626151,0.016014837,0.010409667,0.007123043,0.012923566,0.013768504,0.014307424,0.001243619,0.02278984,0.024994687,1,0.00554774,0.008708484,0.008721177,0.008847372,0.008984689,0.009181769,0.009145047,0.009145047,0.008997097
eQTL_deficient,0.006590885,0.005002821,-0.011960492,-0.002524847,-0.022984104,-0.059412167,-0.038232751,-0.023355949,0.015917686,-0.028193428,0.05440962,-0.014168072,0.051236361,-0.014980237,-0.022422442,0.00554774,1,0.175106835,0.170369542,0.167056565,0.163543152,0.154455643,0.163773108,0.163773108,0.150398604
Genes_withSNPs_r01_100kb,-0.019163738,-0.019414169,0.002160369,-0.00838238,-0.0599698,-0.11652797,-0.056133084,-0.044043651,0.012158822,-0.047252814,0.058903134,-0.015045379,0.142805489,-0.063922311,-0.073126719,0.008708484,0.175106835,1,0.899502171,0.860591483,0.838663428,0.653066431,0.722970468,0.722970468,0.780768675
Genes_withSNPs_r03_100kb,-0.011717775,-0.019496719,-0.001925505,0.003541496,-0.06005721,-0.120233526,-0.065575933,-0.04171137,0.018954359,-0.04959572,0.062574188,0.004371602,0.142597643,-0.058177281,-0.072086147,0.008721177,0.170369542,0.899502171,1,0.939762897,0.860089248,0.635340106,0.721855521,0.735819063,0.788080139
Genes_withSNPs_r05_100kb,-0.012419965,-0.020313197,0.005820365,0.008552991,-0.060926233,-0.122577734,-0.064626695,-0.038508691,0.034375393,-0.041331415,0.068803648,0.016782888,0.140563696,-0.054799438,-0.067749171,0.008847372,0.167056565,0.860591483,0.939762897,1,0.850299193,0.628235255,0.721972582,0.760586939,0.773580586
Genes_withSNPs_allSNPs_100kb,-0.025799109,-0.016341908,-0.014322938,-0.004202239,-0.061871845,-0.126807409,-0.060409564,-0.040456615,0.008473749,-0.047964012,0.042945897,-0.000262798,0.138415406,-0.068467194,-0.072752465,0.008984689,0.163543152,0.838663428,0.860089248,0.850299193,1,0.615066285,0.685791837,0.710287784,0.868894762
Genes_withSNPs_r01_10kb,-0.021519575,-0.012917849,0.003994628,0.006006013,-0.063229009,-0.118805749,-0.045409727,-0.048011396,0.002585294,-0.045354126,0.054944196,-0.00507757,0.098932292,-0.051288229,-0.084130627,0.009181769,0.154455643,0.653066431,0.635340106,0.628235255,0.615066285,1,0.739528131,0.704797478,0.630395162
Genes_withSNPs_r03_10kb,-0.024320278,-0.00787566,-0.003990955,0.000520463,-0.062976134,-0.124748567,-0.058621196,-0.054732324,0.003045617,-0.038590912,0.061834817,-0.009865019,0.135988287,-0.054458934,-0.074206231,0.009145047,0.163773108,0.722970468,0.721855521,0.721972582,0.685791837,0.739528131,1,0.868642683,0.706530473
Genes_withSNPs_r05_10kb,-0.014824419,-0.003097497,-0.00578711,0.000520463,-0.062976134,-0.128074575,-0.065656471,-0.059542876,0.013078169,-0.038590912,0.056005471,-0.011757284,0.11766954,-0.058897924,-0.067015285,0.009145047,0.163773108,0.722970468,0.735819063,0.760586939,0.710287784,0.704797478,0.868642683,1,0.720123184
Genes_withSNPs_all_SNPs_10kb,-0.035346638,-0.02127226,-0.0328524,-0.010124511,-0.061957291,-0.121975233,-0.058897374,-0.035753275,0.004919777,-0.046122026,0.009101463,-0.035109807,0.138224515,-0.062872129,-0.06445087,0.008997097,0.150398604,0.780768675,0.788080139,0.773580586,0.868894762,0.630395162,0.706530473,0.720123184,1
