,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
TF,0.001107854,-0.03421394,0.173223635,0.087614779,-0.000769912,0.092540946,0.132512348,0.024765046,0.0127761,-0.027519541,1,0.120165399,-0.00611477,0.002334066,0.029689475,0.017318375,0.004134019,0.043774639,0.04495567,0.04443475,0.040643491,0.043461682,0.021161581,0.025223475,0.016201914
high_EDS,-0.004276209,0.026322961,0.169660821,0.08970514,0.08602536,0.20127365,0.161650063,0.07693974,0.075048309,0.065717292,0.120165399,1,-0.011393832,0.084769355,0.114820387,0.032269842,-0.013232614,-0.048855586,-0.041112035,-0.044980612,-0.053060127,-0.044282118,-0.064491602,-0.061670016,-0.066729923
Olfactory,-0.000888765,-0.003194618,-0.008841495,-0.001627724,-0.003712395,-0.009222757,-0.00878147,-0.006257753,-0.004155018,-0.007811705,-0.00611477,-0.011393832,1,-0.012711119,-0.016101954,0.001083067,-0.002106253,-0.005836931,-0.005940288,-0.005954956,-0.005925597,-0.006384703,-0.006370675,-0.006243548,-0.006085916
Clinvar,-0.004592054,0.083083528,0.211984645,0.128055146,0.10030933,0.124937763,0.046135013,0.071542744,0.298075811,0.563560989,0.002334066,0.084769355,-0.012711119,1,0.080214016,0.036000692,0.032131155,-0.068868268,-0.071113872,-0.071859965,-0.088450741,-0.030760048,-0.058375376,-0.048732719,-0.081408935
GWAS_nearest,-0.00997913,0.056421391,0.092554936,0.044546426,0.090261336,0.124523008,0.068001007,0.029024613,0.066452277,0.082630465,0.029689475,0.114820387,-0.016101954,0.080214016,1,0.045604283,-0.04478828,-0.043963616,-0.037241968,-0.046681325,-0.069867052,-0.054973941,-0.035488019,-0.03973934,-0.047596622
Universe,0.005414259,0.009047862,0.025041064,0.004610074,0.01051432,0.026120879,0.024871057,0.017723336,0.011767928,0.022124471,0.017318375,0.032269842,0.001083067,0.036000692,0.045604283,1,0.005965372,0.016531474,0.016824206,0.016865748,0.016782596,0.018082886,0.018043155,0.017683105,0.017236655
eQTL_deficient,0.096005507,0.050095366,-0.02956956,-0.008965263,0.038333106,0.014342844,0.009276774,0.002638198,0.030095082,0.01950499,0.004134019,-0.013232614,-0.002106253,0.032131155,-0.04478828,0.005965372,1,0.046450722,0.044739583,0.044500283,0.057916383,0.062182409,0.0380524,0.02756767,0.017093912
Genes_withSNPs_r01_100kb,0.090156279,-0.004932422,-0.01977081,0.042646523,-0.056664412,-0.108235301,-0.022065976,-0.033050826,0.032630758,-0.074698026,0.043774639,-0.048855586,-0.005836931,-0.068868268,-0.043963616,0.016531474,0.046450722,1,0.88731018,0.87006987,0.844319445,0.611653342,0.655750446,0.650854345,0.782119501
Genes_withSNPs_r03_100kb,0.0821948,0.002205837,-0.012849091,0.041226097,-0.0576678,-0.114763406,-0.03710049,-0.021444083,0.030112351,-0.081446338,0.04495567,-0.041112035,-0.005940288,-0.071113872,-0.037241968,0.016824206,0.044739583,0.88731018,1,0.943281487,0.839043253,0.632237013,0.685092355,0.681022685,0.787140362
Genes_withSNPs_r05_100kb,0.079471997,0.010597985,-0.009788906,0.041027554,-0.057810193,-0.118730884,-0.033969938,-0.017113657,0.036506566,-0.077845826,0.04443475,-0.044980612,-0.005954956,-0.071859965,-0.046681325,0.016865748,0.044500283,0.87006987,0.943281487,1,0.841853032,0.616547826,0.673928621,0.688659564,0.789937108
Genes_withSNPs_allSNPs_100kb,0.079782439,-0.014877069,-0.034267536,0.04142571,-0.057525174,-0.114350336,-0.032872728,-0.025792465,0.023692002,-0.089060346,0.040643491,-0.053060127,-0.005925597,-0.088450741,-0.069867052,0.016782596,0.057916383,0.844319445,0.839043253,0.841853032,1,0.610648224,0.654216799,0.659097338,0.8668612
Genes_withSNPs_r01_10kb,0.072027562,-0.020767196,-0.016465282,0.019843145,-0.061982136,-0.123759545,-0.046072763,-0.037529061,0.019849856,-0.055206018,0.043461682,-0.044282118,-0.006384703,-0.030760048,-0.054973941,0.018082886,0.062182409,0.611653342,0.632237013,0.616547826,0.610648224,1,0.725060274,0.660406164,0.615297192
Genes_withSNPs_r03_10kb,0.076290862,-0.012435079,-0.033195304,0.019986464,-0.061845954,-0.120003336,-0.038625543,-0.041651752,0.026545264,-0.069856098,0.021161581,-0.064491602,-0.006370675,-0.058375376,-0.035488019,0.018043155,0.0380524,0.655750446,0.685092355,0.673928621,0.654216799,0.725060274,1,0.868055553,0.671688166
Genes_withSNPs_r05_10kb,0.077948072,-0.010700405,-0.035403333,0.021304452,-0.060611821,-0.116382512,-0.044521809,-0.043084059,0.035995626,-0.05860551,0.025223475,-0.061670016,-0.006243548,-0.048732719,-0.03973934,0.017683105,0.02756767,0.650854345,0.681022685,0.688659564,0.659097338,0.660406164,0.868055553,1,0.672512108
Genes_withSNPs_all_SNPs_10kb,0.07736033,-0.016972989,-0.036630233,0.022989015,-0.059081539,-0.108364867,-0.02078349,-0.025329976,0.00677141,-0.077390991,0.016201914,-0.066729923,-0.006085916,-0.081408935,-0.047596622,0.017236655,0.017093912,0.782119501,0.787140362,0.789937108,0.8668612,0.615297192,0.671688166,0.672512108,1
