,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
TF,0.13251952,-0.024042053,0.22274103,0.102636891,0.006075094,0.137927285,0.175138628,0.057751577,0.024642875,-0.007852313,1,0.131376234,,0.031363992,0.039596482,0.014642934,-0.026859474,0.040700194,0.037586184,0.043466738,0.033257728,0.034146021,0.033666938,0.024937421,-0.000637286
high_EDS,-0.01351512,0.026166604,0.129390209,0.086719234,0.05621695,0.15588022,0.141953183,0.08018544,0.090142657,0.084990703,0.131376234,1,,0.100213566,0.114266551,0.025001888,-0.041510408,-0.063049047,-0.053583182,-0.05560023,-0.062926516,-0.04142899,-0.054794953,-0.047700171,-0.086269587
Olfactory,,,,,,,,,,,,,,,,,,,,,,,,,
Clinvar,-0.044654309,0.08932931,0.232535643,0.140335037,0.077517573,0.104793906,0.018644889,0.060445973,0.31628878,0.571087399,0.031363992,0.100213566,,1,0.089474475,0.029542346,-0.02470657,-0.077056206,-0.075433116,-0.070831082,-0.080828063,-0.056211846,-0.062838764,-0.039492094,-0.07159775
GWAS_nearest,-0.007591232,0.040727481,0.097557628,0.045339098,0.099000807,0.115351012,0.064477678,0.02924998,0.075493325,0.089403739,0.039596482,0.114266551,,0.089474475,1,0.036539659,-0.054126952,-0.070102628,-0.070238246,-0.082659544,-0.092232494,-0.083727507,-0.065494148,-0.063216989,-0.07500134
Universe,-0.017581663,0.007495927,0.021903599,0.004145826,0.008564038,0.022761958,0.021811142,0.014864785,0.009880335,0.01838877,0.014642934,0.025001888,,0.029542346,0.036539659,1,0.005646192,0.015338587,0.015554299,0.015482594,0.015518471,0.016469806,0.016504444,0.016121183,0.015518471
eQTL_deficient,-0.071829681,0.046314067,-0.031229541,-0.011039274,0.016172996,-0.007695586,0.014367041,-0.003631016,0.007849275,-0.018449427,-0.026859474,-0.041510408,,-0.02470657,-0.054126952,0.005646192,1,0.122735873,0.108794507,0.109538958,0.120741716,0.099767512,0.088412346,0.091871448,0.109165756
Genes_withSNPs_r01_100kb,-0.05438614,-0.009721442,-0.038368242,0.001618527,-0.061949492,-0.132675128,-0.033729475,-0.035107502,0.011100393,-0.079743427,0.040700194,-0.063049047,,-0.077056206,-0.070102628,0.015338587,0.122735873,1,0.897681322,0.878560328,0.848493477,0.637544876,0.689393066,0.675386272,0.778536019
Genes_withSNPs_r03_100kb,-0.047436002,-0.00217529,-0.034730101,0.000846596,-0.062820711,-0.145886057,-0.044538523,-0.037422009,0.009180483,-0.086257008,0.037586184,-0.053583182,,-0.075433116,-0.070238246,0.015554299,0.108794507,0.897681322,1,0.944562618,0.845495253,0.614281069,0.713910779,0.700776593,0.790149317
Genes_withSNPs_r05_100kb,-0.061491431,0.007106961,-0.033525319,0.001101975,-0.062531107,-0.145038648,-0.04337551,-0.041447511,0.016645302,-0.077320744,0.043466738,-0.05560023,,-0.070831082,-0.082659544,0.015482594,0.109538958,0.878560328,0.944562618,1,0.849555082,0.59545688,0.699902472,0.713323972,0.784746887
Genes_withSNPs_allSNPs_100kb,-0.058638685,-0.01076955,-0.055758385,0.000974048,-0.062676008,-0.141942594,-0.051187163,-0.037039328,0.00949738,-0.077736756,0.033257728,-0.062926516,,-0.080828063,-0.092232494,0.015518471,0.120741716,0.848493477,0.845495253,0.849555082,1,0.615909277,0.689306863,0.693585446,0.861381066
Genes_withSNPs_r01_10kb,-0.056285759,-0.01614391,-0.039390181,-0.002314547,-0.06651826,-0.143200145,-0.055570438,-0.051546556,0.001332635,-0.053705824,0.034146021,-0.04142899,,-0.056211846,-0.083727507,0.016469806,0.099767512,0.637544876,0.614281069,0.59545688,0.615909277,1,0.745790699,0.679284571,0.642368333
Genes_withSNPs_r03_10kb,-0.066165297,-0.007932636,-0.046829879,-0.002430752,-0.066658156,-0.140272353,-0.049223184,-0.061008328,0.014035941,-0.058019397,0.033666938,-0.054794953,,-0.062838764,-0.065494148,0.016504444,0.088412346,0.689393066,0.713910779,0.699902472,0.689306863,0.745790699,1,0.852881141,0.70691762
Genes_withSNPs_r05_10kb,-0.079358329,-0.005648994,-0.044090846,-0.001131674,-0.06511024,-0.138894375,-0.050075144,-0.066597161,0.037343291,-0.041307983,0.024937421,-0.047700171,,-0.039492094,-0.063216989,0.016121183,0.091871448,0.675386272,0.700776593,0.713323972,0.693585446,0.679284571,0.852881141,1,0.707036858
Genes_withSNPs_all_SNPs_10kb,-0.076281178,-0.019587445,-0.066573214,-0.014683613,-0.062676008,-0.141942594,-0.051187163,-0.041822579,-0.004137073,-0.0655564,-0.000637286,-0.086269587,,-0.07159775,-0.07500134,0.015518471,0.109165756,0.778536019,0.790149317,0.784746887,0.861381066,0.642368333,0.70691762,0.707036858,1
