CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,all_SNPs_100kb,r01_10kb_count,r03_10kb_count,r05_10kb_count,all_SNPs_10kb,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_allSNPs_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb,ratio_all_SNPs_10kb
chr11,392614,404908,11187,46,101,159,1139,8,13,18,155,12294,0.02%,0.05%,0.07%,0.54%,0.02%,0.04%,0.06%,0.48%
chr19,361750,376013,51298,46,109,187,1414,19,37,56,263,14263,0.02%,0.05%,0.09%,0.66%,0.06%,0.11%,0.16%,0.77%
chr16,81115566,81130008,2653,46,82,126,1512,4,8,10,192,14442,0.02%,0.04%,0.06%,0.71%,0.01%,0.02%,0.03%,0.56%
chr19,3052908,3063105,166,45,100,159,1177,8,19,32,152,10197,0.02%,0.05%,0.08%,0.56%,0.03%,0.06%,0.11%,0.50%
chr4,184560788,184580378,201965,47,124,182,1436,22,40,49,252,19590,0.02%,0.06%,0.08%,0.65%,0.06%,0.10%,0.12%,0.64%
chr16,84511681,84587639,57707,59,171,288,2201,16,53,84,869,75958,0.02%,0.06%,0.10%,0.80%,0.02%,0.06%,0.09%,0.91%
chr19,51273721,51274989,2854,43,100,151,998,8,20,25,108,1268,0.02%,0.05%,0.08%,0.50%,0.04%,0.09%,0.12%,0.51%
chr19,54818353,54824409,353514,44,125,179,1300,3,7,8,114,6056,0.02%,0.06%,0.09%,0.63%,0.01%,0.03%,0.03%,0.44%
chr20,853296,896977,51378,52,147,219,1466,20,44,63,394,43681,0.02%,0.06%,0.09%,0.60%,0.03%,0.07%,0.10%,0.62%
chr16,84402133,84497793,9914,63,196,357,2553,31,83,157,1033,95660,0.02%,0.07%,0.12%,0.86%,0.03%,0.07%,0.14%,0.89%
chr20,4702556,4709106,23627,44,105,158,1244,11,16,23,167,6550,0.02%,0.05%,0.08%,0.60%,0.04%,0.06%,0.09%,0.63%
chr17,4402133,4442330,124976,51,109,173,1342,21,37,55,284,40197,0.02%,0.05%,0.07%,0.56%,0.03%,0.06%,0.09%,0.47%
chr19,589893,617159,610,48,144,248,1635,14,36,67,411,27266,0.02%,0.06%,0.11%,0.72%,0.03%,0.08%,0.14%,0.87%
chr8,1922044,1955102,9920,49,136,238,1590,11,30,59,342,33058,0.02%,0.06%,0.10%,0.68%,0.02%,0.06%,0.11%,0.64%
chr2,174219548,174233725,83879,45,97,143,995,2,5,10,138,14177,0.02%,0.05%,0.07%,0.46%,0.01%,0.01%,0.03%,0.40%
chr19,812518,821967,79948,44,120,200,1280,2,7,16,150,9449,0.02%,0.06%,0.10%,0.61%,0.01%,0.02%,0.05%,0.51%
chr5,3596168,3601517,79192,43,89,126,1248,9,15,25,112,5349,0.02%,0.04%,0.06%,0.61%,0.04%,0.06%,0.10%,0.44%
chr19,55085346,55148979,10859,55,142,214,1667,15,25,36,649,63633,0.02%,0.05%,0.08%,0.63%,0.02%,0.03%,0.04%,0.78%
chr19,489176,505347,8174,45,125,211,1602,6,18,31,267,16171,0.02%,0.06%,0.10%,0.74%,0.02%,0.05%,0.09%,0.74%
chr19,2997636,3047633,7089,52,124,183,1425,15,37,60,391,49997,0.02%,0.05%,0.07%,0.57%,0.02%,0.05%,0.09%,0.56%
chr8,2792875,4852494,64478,470,1246,2027,21283,447,1178,1912,20123,2059619,0.02%,0.06%,0.09%,0.94%,0.02%,0.06%,0.09%,0.97%
chr19,617223,633597,5442,45,141,241,1587,8,20,44,285,16374,0.02%,0.07%,0.11%,0.73%,0.02%,0.05%,0.12%,0.78%
chr14,21269387,21271437,6035,42,97,140,1124,4,12,17,95,2050,0.02%,0.05%,0.07%,0.56%,0.02%,0.05%,0.08%,0.43%
chr11,405716,417455,59307,44,96,148,1114,7,9,12,102,11739,0.02%,0.05%,0.07%,0.53%,0.02%,0.03%,0.04%,0.32%
chr19,56459198,56499995,126205,50,156,251,1560,8,25,43,347,40797,0.02%,0.06%,0.10%,0.65%,0.01%,0.04%,0.07%,0.57%
chr19,840963,848175,5657,43,115,188,1243,11,22,34,199,7212,0.02%,0.06%,0.09%,0.60%,0.04%,0.08%,0.12%,0.73%
chr19,917287,921015,84634,42,102,163,1263,2,10,14,85,3728,0.02%,0.05%,0.08%,0.62%,0.01%,0.04%,0.06%,0.36%
chr17,4460222,4464113,124975,42,88,135,1014,6,7,9,102,3891,0.02%,0.04%,0.07%,0.50%,0.03%,0.03%,0.04%,0.43%
chr19,3224701,3297074,60680,56,131,220,1476,15,34,58,421,72373,0.02%,0.05%,0.08%,0.54%,0.02%,0.04%,0.06%,0.46%
chr17,9799637,9808938,5957,43,86,127,1109,7,14,18,189,9301,0.02%,0.04%,0.06%,0.53%,0.02%,0.05%,0.06%,0.65%
chr18,596988,650334,27098,52,123,195,1248,27,49,72,326,53346,0.02%,0.05%,0.08%,0.49%,0.04%,0.07%,0.10%,0.44%
chr14,21024252,21029090,390443,42,103,158,1032,2,7,12,107,4838,0.02%,0.05%,0.08%,0.50%,0.01%,0.03%,0.05%,0.43%
chr17,702553,883010,64359,78,202,307,2282,51,125,183,1375,180457,0.02%,0.05%,0.08%,0.60%,0.03%,0.06%,0.09%,0.69%
chr19,867962,893218,10025,46,112,188,1329,13,28,41,266,25256,0.02%,0.05%,0.08%,0.59%,0.03%,0.06%,0.09%,0.59%
chr11,55797895,55798869,219447,41,96,161,1634,6,14,20,196,974,0.02%,0.05%,0.08%,0.81%,0.03%,0.07%,0.10%,0.93%
chr11,55734975,55735990,282770,41,93,161,1566,2,9,17,185,1015,0.02%,0.05%,0.08%,0.78%,0.01%,0.04%,0.08%,0.88%
chr11,49973943,49974971,283092,41,58,96,1181,6,6,10,101,1028,0.02%,0.03%,0.05%,0.59%,0.03%,0.03%,0.05%,0.48%
chr14,21249210,21250626,6039,41,97,147,1178,3,11,22,163,1416,0.02%,0.05%,0.07%,0.58%,0.01%,0.05%,0.10%,0.76%
chr17,4442192,4458926,10514,44,92,148,1097,12,18,24,183,16734,0.02%,0.04%,0.07%,0.51%,0.03%,0.05%,0.07%,0.50%
chr19,825097,832017,566,42,119,196,1263,7,15,27,207,6920,0.02%,0.06%,0.09%,0.61%,0.03%,0.06%,0.10%,0.77%
chr22,17660194,17702879,51816,49,110,162,1125,12,31,49,373,42685,0.02%,0.05%,0.07%,0.46%,0.02%,0.05%,0.08%,0.60%
chr16,83981887,83999937,29948,44,108,177,1769,10,29,38,305,18050,0.02%,0.05%,0.08%,0.81%,0.03%,0.08%,0.10%,0.80%
chr20,740724,749131,113278,42,140,213,1198,8,30,40,189,8407,0.02%,0.07%,0.10%,0.57%,0.03%,0.11%,0.14%,0.67%
chr19,54704610,54752862,6203,50,138,199,1383,17,56,78,464,48252,0.02%,0.06%,0.08%,0.56%,0.02%,0.08%,0.11%,0.68%
chr19,859453,863453,1675,41,109,180,1192,6,13,21,152,4000,0.02%,0.05%,0.09%,0.58%,0.03%,0.05%,0.09%,0.63%
chr19,3185561,3209573,56926,45,101,174,1246,11,18,28,240,24012,0.02%,0.05%,0.08%,0.56%,0.02%,0.04%,0.06%,0.55%
chr11,417933,442011,338440,45,98,144,1211,5,10,15,158,24078,0.02%,0.04%,0.06%,0.54%,0.01%,0.02%,0.03%,0.36%
chr4,184580420,184634745,60684,51,136,199,1496,22,44,63,368,54325,0.02%,0.05%,0.08%,0.59%,0.03%,0.06%,0.08%,0.50%
chr19,51446559,51456349,25818,42,100,153,1183,9,16,25,169,9790,0.02%,0.05%,0.07%,0.56%,0.03%,0.05%,0.08%,0.57%
chr19,925781,975939,1820,50,130,213,1555,10,22,38,363,50158,0.02%,0.05%,0.09%,0.62%,0.01%,0.03%,0.05%,0.52%
chr16,1031808,1036979,30812,41,77,137,1520,4,9,18,174,5171,0.02%,0.04%,0.07%,0.74%,0.02%,0.04%,0.07%,0.69%
chr19,797075,812327,5725,43,128,214,1346,2,10,22,184,15252,0.02%,0.06%,0.10%,0.63%,0.01%,0.03%,0.06%,0.52%
chr21,46086106,46086844,353323,40,87,134,1237,3,6,11,168,738,0.02%,0.04%,0.07%,0.62%,0.01%,0.03%,0.05%,0.81%
chr18,657604,673578,7298,43,92,143,1050,5,10,23,172,15974,0.02%,0.04%,0.07%,0.49%,0.01%,0.03%,0.06%,0.48%
chr19,51461887,51472929,5653,42,105,156,1142,3,10,15,117,11042,0.02%,0.05%,0.07%,0.54%,0.01%,0.03%,0.05%,0.38%
chr19,54720147,54746602,11025,45,125,177,1247,13,44,63,326,26455,0.02%,0.06%,0.08%,0.55%,0.03%,0.09%,0.14%,0.70%
chr11,236546,252983,5719,43,95,147,995,6,19,26,249,16437,0.02%,0.04%,0.07%,0.46%,0.02%,0.05%,0.07%,0.68%
chr19,15751707,15773635,4051,44,102,163,1590,10,25,37,359,21928,0.02%,0.05%,0.07%,0.72%,0.02%,0.06%,0.09%,0.86%
chr22,25615489,25627836,1415,42,94,132,1257,8,28,42,211,12347,0.02%,0.04%,0.06%,0.59%,0.02%,0.09%,0.13%,0.65%
chr19,3136191,3163767,2769,45,98,166,1280,11,31,52,357,27576,0.02%,0.04%,0.07%,0.56%,0.02%,0.07%,0.11%,0.75%
chr6,1312675,1314992,94234,40,85,134,964,4,10,16,108,2317,0.02%,0.04%,0.07%,0.48%,0.02%,0.04%,0.07%,0.48%
chr22,17618401,17646177,27440,45,103,147,1070,4,12,21,263,27776,0.02%,0.05%,0.06%,0.47%,0.01%,0.03%,0.04%,0.55%
chr14,21236586,21239107,64184,40,99,148,1177,2,9,14,211,2521,0.02%,0.05%,0.07%,0.58%,0.01%,0.04%,0.06%,0.94%
chr17,906758,1132315,29,84,234,365,2650,42,122,202,1444,225557,0.02%,0.05%,0.09%,0.62%,0.02%,0.05%,0.08%,0.59%
chr8,1772142,1906807,9639,66,179,301,2115,33,97,161,1025,134665,0.02%,0.05%,0.09%,0.63%,0.02%,0.06%,0.10%,0.66%
chr19,3172344,3180329,8698,41,92,155,1170,10,19,35,186,7985,0.02%,0.04%,0.07%,0.56%,0.04%,0.07%,0.13%,0.66%
chr19,3777971,3802127,4145,44,78,112,974,11,17,28,197,24156,0.02%,0.03%,0.05%,0.43%,0.02%,0.04%,0.06%,0.45%
chr10,6186881,6277495,5209,57,127,191,1462,37,81,115,675,90614,0.02%,0.04%,0.07%,0.50%,0.03%,0.07%,0.10%,0.61%
chr19,56403065,56443702,126204,47,145,232,1546,8,30,42,328,40637,0.02%,0.06%,0.10%,0.64%,0.01%,0.05%,0.07%,0.54%
chr19,51293672,51298481,93650,40,101,151,1031,3,8,14,149,4809,0.02%,0.05%,0.07%,0.50%,0.01%,0.03%,0.06%,0.60%
chr19,851014,856242,1991,40,110,182,1201,6,16,26,138,5228,0.02%,0.05%,0.09%,0.59%,0.02%,0.06%,0.10%,0.55%
chr14,20973696,20979328,338879,40,108,162,999,3,10,15,96,5632,0.02%,0.05%,0.08%,0.49%,0.01%,0.04%,0.06%,0.37%
chr19,3762662,3768573,116541,40,73,101,882,1,3,10,114,5911,0.02%,0.04%,0.05%,0.43%,0.00%,0.01%,0.04%,0.44%
chr14,21051051,21077954,122651,44,117,182,1177,10,28,42,254,26903,0.02%,0.05%,0.08%,0.52%,0.02%,0.06%,0.09%,0.54%
chr19,896503,913240,91300,42,104,167,1309,10,26,39,153,16737,0.02%,0.05%,0.08%,0.60%,0.03%,0.07%,0.11%,0.42%
chr14,95078714,95090392,12,41,113,176,1321,10,26,41,326,11678,0.02%,0.05%,0.08%,0.62%,0.03%,0.08%,0.13%,1.03%
chr8,1993155,2113475,9172,62,160,284,2527,27,74,139,1380,120320,0.02%,0.05%,0.09%,0.79%,0.02%,0.05%,0.10%,0.98%
chr20,1246960,1289972,9751,47,98,141,938,14,25,39,254,43012,0.02%,0.04%,0.06%,0.39%,0.02%,0.04%,0.06%,0.40%
chr22,45064593,45133561,55615,52,125,204,1701,14,37,70,609,68968,0.02%,0.05%,0.08%,0.63%,0.02%,0.04%,0.08%,0.68%
chr19,2900896,2918474,126295,42,86,120,1149,3,10,16,281,17578,0.02%,0.04%,0.06%,0.53%,0.01%,0.03%,0.04%,0.75%
chr19,51300961,51308186,84798,40,101,150,1051,2,7,12,136,7225,0.02%,0.05%,0.07%,0.51%,0.01%,0.03%,0.04%,0.50%
chr7,536895,559933,5154,43,106,166,1378,8,23,35,251,23038,0.02%,0.05%,0.07%,0.62%,0.02%,0.05%,0.08%,0.58%
chr14,21214051,21216539,10876,39,102,154,1150,4,10,16,151,2488,0.02%,0.05%,0.08%,0.57%,0.02%,0.04%,0.07%,0.67%
chr17,4336983,4391503,201305,49,103,155,1283,21,45,70,505,54520,0.02%,0.04%,0.06%,0.50%,0.03%,0.06%,0.09%,0.68%
chr19,3769087,3772233,84839,39,72,100,862,1,4,11,101,3146,0.02%,0.04%,0.05%,0.42%,0.00%,0.02%,0.05%,0.44%
chr12,673462,772945,4815,57,137,220,1521,29,74,104,679,99483,0.02%,0.05%,0.07%,0.51%,0.02%,0.06%,0.09%,0.57%
chr19,647526,663277,55658,41,131,223,1540,8,26,37,225,15751,0.02%,0.06%,0.10%,0.71%,0.02%,0.07%,0.10%,0.63%
chr19,3750817,3761697,9546,40,71,101,901,4,8,14,145,10880,0.02%,0.03%,0.05%,0.43%,0.01%,0.03%,0.05%,0.47%
chr21,46077849,46078258,386683,38,84,131,1239,3,5,9,127,409,0.02%,0.04%,0.07%,0.62%,0.01%,0.02%,0.04%,0.62%
chr21,46101491,46102078,353332,38,84,129,1216,3,7,12,189,587,0.02%,0.04%,0.06%,0.61%,0.01%,0.03%,0.06%,0.92%
chr19,54844456,54850421,23547,39,106,157,1262,13,27,44,147,5965,0.02%,0.05%,0.08%,0.61%,0.05%,0.10%,0.17%,0.57%
chr19,51532348,51538486,43849,39,93,148,975,8,19,28,128,6138,0.02%,0.05%,0.07%,0.47%,0.03%,0.07%,0.11%,0.49%
chr21,46117087,46117959,386685,38,87,132,1184,3,11,18,143,872,0.02%,0.04%,0.07%,0.59%,0.01%,0.05%,0.09%,0.69%
chr21,46117087,46117959,386675,38,87,132,1184,3,11,18,143,872,0.02%,0.04%,0.07%,0.59%,0.01%,0.05%,0.09%,0.69%
chr17,76210267,76221717,332,40,115,187,1208,5,19,24,178,11450,0.02%,0.05%,0.09%,0.57%,0.02%,0.06%,0.08%,0.57%
chr19,2933216,2944969,58492,40,89,128,1158,7,22,28,160,11753,0.02%,0.04%,0.06%,0.55%,0.02%,0.07%,0.09%,0.50%
chr19,3804022,3869030,23217,50,94,133,1115,16,26,33,359,65008,0.02%,0.04%,0.05%,0.42%,0.02%,0.03%,0.04%,0.42%
chr11,11373489,11374904,283106,38,102,170,1119,5,11,14,86,1415,0.02%,0.05%,0.08%,0.56%,0.02%,0.05%,0.07%,0.40%
chr7,192969,300711,56975,58,165,304,2042,14,52,100,661,107742,0.02%,0.05%,0.10%,0.66%,0.01%,0.04%,0.08%,0.52%
chr5,178286954,178315123,117608,43,110,155,1661,7,14,19,338,28169,0.02%,0.05%,0.07%,0.73%,0.01%,0.03%,0.04%,0.70%
chr19,54641444,54659419,4849,41,127,184,1193,11,26,31,144,17975,0.02%,0.06%,0.08%,0.55%,0.03%,0.07%,0.08%,0.38%
chr16,84002237,84036381,54550,44,109,183,1800,10,23,38,476,34144,0.02%,0.05%,0.08%,0.77%,0.02%,0.04%,0.07%,0.88%
chr22,48885272,49246724,25817,105,272,461,4086,68,185,309,2749,361452,0.02%,0.05%,0.08%,0.73%,0.02%,0.05%,0.08%,0.72%
chr12,130647004,130650285,11211,38,103,167,1072,6,17,26,106,3281,0.02%,0.05%,0.08%,0.53%,0.03%,0.07%,0.11%,0.46%
chr17,76352864,76356158,9021,38,95,149,1046,7,10,16,91,3294,0.02%,0.05%,0.07%,0.51%,0.03%,0.04%,0.07%,0.39%
chr19,51559463,51568371,26085,39,91,138,860,6,17,27,120,8908,0.02%,0.04%,0.07%,0.41%,0.02%,0.06%,0.09%,0.42%
chr20,642240,656823,85508,40,123,200,1006,6,13,25,123,14583,0.02%,0.06%,0.09%,0.47%,0.02%,0.04%,0.07%,0.36%
chr5,172741716,172756506,8614,40,80,111,887,5,15,20,99,14790,0.02%,0.04%,0.05%,0.41%,0.01%,0.04%,0.06%,0.28%
chr17,76183398,76203782,125061,41,109,172,1192,6,19,29,241,20384,0.02%,0.05%,0.08%,0.54%,0.01%,0.05%,0.07%,0.60%
chr19,51322404,51327043,3816,38,100,151,1122,2,6,12,106,4639,0.02%,0.05%,0.07%,0.55%,0.01%,0.02%,0.05%,0.43%
chr19,54369477,54379691,91663,39,99,146,987,6,8,10,80,10214,0.02%,0.05%,0.07%,0.47%,0.02%,0.03%,0.03%,0.26%
chr19,55155340,55181810,11006,42,96,140,1337,17,36,46,323,26470,0.02%,0.04%,0.06%,0.59%,0.04%,0.08%,0.10%,0.70%
chr19,3708107,3750811,27134,45,79,115,1077,17,34,42,301,42704,0.02%,0.03%,0.05%,0.44%,0.03%,0.05%,0.07%,0.48%
chr14,22037934,22038875,26533,37,92,139,1038,2,13,21,137,941,0.02%,0.05%,0.07%,0.52%,0.01%,0.06%,0.10%,0.65%
chr19,51328545,51340469,55554,39,102,155,1210,5,14,23,158,11924,0.02%,0.05%,0.07%,0.57%,0.02%,0.04%,0.07%,0.49%
chr19,56643968,56672262,55311,42,108,185,1354,3,9,13,210,28294,0.02%,0.05%,0.08%,0.59%,0.01%,0.02%,0.03%,0.43%
chr16,84255823,84273356,93107,40,126,226,1414,4,15,34,222,17533,0.02%,0.06%,0.10%,0.65%,0.01%,0.04%,0.09%,0.59%
chr16,77822427,78014004,57687,72,168,262,2571,41,88,142,1146,191577,0.02%,0.04%,0.07%,0.66%,0.02%,0.04%,0.07%,0.54%
chr19,708953,748329,5064,44,135,234,1614,8,33,55,389,39376,0.02%,0.06%,0.10%,0.67%,0.01%,0.06%,0.09%,0.66%
chr19,51580752,51587502,43847,38,86,132,847,3,11,23,125,6750,0.02%,0.04%,0.06%,0.41%,0.01%,0.04%,0.09%,0.47%
chr19,676392,683385,10272,38,125,217,1484,3,11,18,182,6993,0.02%,0.06%,0.10%,0.72%,0.01%,0.04%,0.07%,0.67%
chr21,43406940,43430496,49854,41,100,164,1227,4,11,22,182,23556,0.02%,0.04%,0.07%,0.55%,0.01%,0.03%,0.05%,0.42%
chr19,51515995,51523431,5655,38,96,150,1047,4,14,20,128,7436,0.02%,0.05%,0.07%,0.50%,0.01%,0.05%,0.07%,0.47%
chr22,25595817,25603330,1417,38,91,130,1118,5,12,17,153,7513,0.02%,0.04%,0.06%,0.54%,0.02%,0.04%,0.06%,0.56%
chr15,93586636,93632433,56963,45,140,216,1243,13,42,68,352,45797,0.02%,0.06%,0.09%,0.51%,0.02%,0.06%,0.10%,0.53%
chr19,6729925,6737614,56927,38,94,143,1060,5,12,18,101,7689,0.02%,0.05%,0.07%,0.51%,0.02%,0.04%,0.07%,0.36%
chr17,4487294,4511614,342527,41,79,117,1027,4,15,24,237,24320,0.02%,0.04%,0.05%,0.46%,0.01%,0.03%,0.05%,0.53%
chr22,18893541,18901751,8214,38,72,101,819,4,10,21,176,8210,0.02%,0.03%,0.05%,0.39%,0.01%,0.04%,0.07%,0.62%
chr3,196281056,196295545,348793,39,87,130,991,1,4,6,85,14489,0.02%,0.04%,0.06%,0.46%,0.00%,0.01%,0.02%,0.25%
chr20,5731039,5844558,149840,57,130,197,1552,25,53,87,664,113519,0.02%,0.04%,0.06%,0.50%,0.02%,0.04%,0.07%,0.50%
chr19,51503806,51512890,284366,38,102,160,1097,2,6,10,184,9084,0.02%,0.05%,0.08%,0.52%,0.01%,0.02%,0.03%,0.63%
chr14,21152336,21167130,283,39,110,177,1295,6,18,30,191,14794,0.02%,0.05%,0.08%,0.60%,0.02%,0.05%,0.09%,0.55%
chr19,639879,643703,27006,37,124,219,1484,5,16,30,189,3824,0.02%,0.06%,0.11%,0.73%,0.02%,0.07%,0.13%,0.79%
chr3,196295482,196315930,200933,40,92,141,1035,15,23,30,161,20448,0.02%,0.04%,0.06%,0.47%,0.04%,0.06%,0.07%,0.40%
chr15,101840818,102065405,5046,77,164,268,2225,52,115,191,1384,224587,0.02%,0.04%,0.06%,0.52%,0.02%,0.05%,0.08%,0.57%
chr17,14204400,14252721,9953,45,109,152,1197,18,38,53,335,48321,0.02%,0.04%,0.06%,0.48%,0.03%,0.06%,0.08%,0.49%
chr19,35629712,35634013,5348,37,84,133,947,5,9,14,70,4301,0.02%,0.04%,0.07%,0.46%,0.02%,0.04%,0.06%,0.29%
chr20,4666882,4682236,5621,39,95,150,1238,0,6,8,136,15354,0.02%,0.04%,0.07%,0.57%,0.00%,0.02%,0.02%,0.38%
chr19,54658899,54663620,79165,37,117,167,1097,3,9,12,100,4721,0.02%,0.06%,0.08%,0.54%,0.01%,0.04%,0.05%,0.40%
chr14,21152746,21168735,6038,39,110,177,1300,6,19,32,196,15989,0.02%,0.05%,0.08%,0.60%,0.02%,0.05%,0.09%,0.54%
chr19,54926393,54948080,57348,40,113,179,1353,4,17,25,254,21687,0.02%,0.05%,0.08%,0.61%,0.01%,0.04%,0.06%,0.61%
chr19,35634154,35645204,53822,38,88,136,986,6,16,21,99,11050,0.02%,0.04%,0.06%,0.47%,0.02%,0.05%,0.07%,0.32%
chr3,196366557,196388875,375387,40,99,149,1091,13,37,59,222,22318,0.02%,0.04%,0.07%,0.49%,0.03%,0.09%,0.14%,0.52%
chr19,51525472,51531295,11012,37,92,147,995,6,14,21,124,5823,0.02%,0.04%,0.07%,0.48%,0.02%,0.05%,0.08%,0.48%
chr19,305575,344798,54531,43,105,179,1256,9,23,46,358,39223,0.02%,0.04%,0.07%,0.53%,0.02%,0.04%,0.08%,0.60%
chr19,51358171,51364020,354,37,98,150,1204,7,9,18,197,5849,0.02%,0.05%,0.07%,0.58%,0.03%,0.03%,0.07%,0.76%
chr12,1675159,1703331,144699,41,111,177,1191,10,23,36,190,28172,0.02%,0.05%,0.08%,0.52%,0.02%,0.05%,0.07%,0.39%
chr19,56598732,56632649,126208,42,125,216,1509,9,14,19,238,33917,0.02%,0.05%,0.09%,0.65%,0.02%,0.03%,0.04%,0.44%
