ENTREZ,CHR,START,STOP,Gene_Size,r01_100kb_count,r03_100kb_count,r05_100kb_count,unpruned_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,unpruned_10kb_count,r01_100kb_ratio,r03_100kb_ratio,r05_100kb_ratio,unpruned_100kb_ratio,r01_10kb_ratio,r03_10kb_ratio,r05_10kb_ratio,unpruned_10kb_ratio
390162,chr11,56229945,56230877,932,27,63,100,929,2,11,13,81,2.90%,6.76%,10.73%,99.68%,0.21%,1.18%,1.39%,8.69%
6039,chr14,21249210,21250626,1416,41,97,147,1178,3,11,22,163,2.90%,6.85%,10.38%,83.19%,0.21%,0.78%,1.55%,11.51%
51077,chr1,50871102,50871696,594,17,37,43,549,3,6,6,79,2.86%,6.23%,7.24%,92.42%,0.51%,1.01%,1.01%,13.30%
79310,chr3,98001732,98002676,944,27,45,60,1547,3,6,8,123,2.86%,4.77%,6.36%,163.88%,0.32%,0.64%,0.85%,13.03%
6037,chr14,21359558,21360507,949,27,61,82,809,2,7,8,70,2.85%,6.43%,8.64%,85.25%,0.21%,0.74%,0.84%,7.38%
83902,chr17,39471173,39471947,774,22,38,45,634,3,4,5,86,2.84%,4.91%,5.81%,81.91%,0.39%,0.52%,0.65%,11.11%
51052,chr2,238475217,238475818,601,17,39,73,1327,0,1,3,140,2.83%,6.49%,12.15%,220.80%,0.00%,0.17%,0.50%,23.29%
353333,chr21,46057273,46058370,1097,31,78,128,1228,2,7,11,105,2.83%,7.11%,11.67%,111.94%,0.18%,0.64%,1.00%,9.57%
119774,chr11,4470525,4471591,1066,30,66,86,1288,4,10,13,115,2.81%,6.19%,8.07%,120.83%,0.38%,0.94%,1.22%,10.79%
83460,chr17,3572109,3572962,853,24,65,103,996,2,5,7,107,2.81%,7.62%,12.08%,116.76%,0.23%,0.59%,0.82%,12.54%
390064,chr11,5474638,5475707,1069,30,83,122,1585,2,6,10,147,2.81%,7.76%,11.41%,148.27%,0.19%,0.56%,0.94%,13.75%
337966,chr21,31985750,31986249,499,14,22,24,606,1,1,1,42,2.81%,4.41%,4.81%,121.44%,0.20%,0.20%,0.20%,8.42%
284532,chr1,247978102,247979031,929,26,55,77,1101,3,5,5,140,2.80%,5.92%,8.29%,118.51%,0.32%,0.54%,0.54%,15.07%
390882,chr19,9212945,9213982,1037,29,71,114,1026,4,10,13,126,2.80%,6.85%,10.99%,98.94%,0.39%,0.96%,1.25%,12.15%
390152,chr11,55889849,55890787,938,26,71,111,1196,3,8,12,152,2.77%,7.57%,11.83%,127.51%,0.32%,0.85%,1.28%,16.20%
401667,chr11,4976002,4976943,941,26,65,93,988,0,3,6,84,2.76%,6.91%,9.88%,104.99%,0.00%,0.32%,0.64%,8.93%
387748,chr11,5757681,5758768,1087,30,67,100,1172,3,8,9,107,2.76%,6.16%,9.20%,107.82%,0.28%,0.74%,0.83%,9.84%
8988,chr5,53751445,53752207,762,21,63,103,1084,2,5,7,114,2.76%,8.27%,13.52%,142.26%,0.26%,0.66%,0.92%,14.96%
85291,chr17,39333698,39334460,762,21,52,65,1011,4,7,8,115,2.76%,6.82%,8.53%,132.68%,0.52%,0.92%,1.05%,15.09%
391189,chr1,248004199,248005254,1055,29,59,82,1137,4,6,7,117,2.75%,5.59%,7.77%,107.77%,0.38%,0.57%,0.66%,11.09%
285659,chr5,180581943,180582890,947,26,50,79,1107,3,6,11,147,2.75%,5.28%,8.34%,116.90%,0.32%,0.63%,1.16%,15.52%
337973,chr21,31913854,31914183,329,9,19,20,522,0,0,0,49,2.74%,5.78%,6.08%,158.66%,0.00%,0.00%,0.00%,14.89%
403239,chr1,248813232,248814185,953,26,38,61,830,6,11,18,144,2.73%,3.99%,6.40%,87.09%,0.63%,1.15%,1.89%,15.11%
83901,chr17,39394297,39395256,959,26,45,55,723,1,5,6,93,2.71%,4.69%,5.74%,75.39%,0.10%,0.52%,0.63%,9.70%
81318,chr11,51411378,51412448,1070,29,72,107,1334,2,7,12,162,2.71%,6.73%,10.00%,124.67%,0.19%,0.65%,1.12%,15.14%
81328,chr11,55135360,55136394,1034,28,73,123,1293,2,8,13,122,2.71%,7.06%,11.90%,125.05%,0.19%,0.77%,1.26%,11.80%
85280,chr17,39405939,39406904,965,26,44,53,691,1,6,6,87,2.69%,4.56%,5.49%,71.61%,0.10%,0.62%,0.62%,9.02%
403273,chr3,97868170,97869249,1079,29,54,72,1656,2,6,6,108,2.69%,5.00%,6.67%,153.48%,0.19%,0.56%,0.56%,10.01%
9636,chr1,948803,949920,1117,30,51,82,978,3,4,7,96,2.69%,4.57%,7.34%,87.56%,0.27%,0.36%,0.63%,8.59%
283106,chr11,11373489,11374904,1415,38,102,170,1119,5,11,14,86,2.69%,7.21%,12.01%,79.08%,0.35%,0.78%,0.99%,6.08%
386682,chr21,45977673,45978643,970,26,53,82,864,0,7,13,109,2.68%,5.46%,8.45%,89.07%,0.00%,0.72%,1.34%,11.24%
8388,chr17,3336164,3337135,971,26,62,82,977,1,4,5,68,2.68%,6.39%,8.44%,100.62%,0.10%,0.41%,0.51%,7.00%
403244,chr1,248801588,248802559,971,26,36,57,802,3,5,9,97,2.68%,3.71%,5.87%,82.60%,0.31%,0.51%,0.93%,9.99%
219484,chr11,56257825,56258871,1046,28,60,100,927,2,4,6,89,2.68%,5.74%,9.56%,88.62%,0.19%,0.38%,0.57%,8.51%
219479,chr11,56184734,56185708,974,26,62,92,880,3,6,13,108,2.67%,6.37%,9.45%,90.35%,0.31%,0.62%,1.33%,11.09%
100132476,chr17,39240459,39241396,937,25,62,85,1203,4,13,17,193,2.67%,6.62%,9.07%,128.39%,0.43%,1.39%,1.81%,20.60%
81871,chr17,39240459,39241396,937,25,62,85,1203,4,13,17,193,2.67%,6.62%,9.07%,128.39%,0.43%,1.39%,1.81%,20.60%
219482,chr11,56236964,56238014,1050,28,66,103,932,4,7,11,87,2.67%,6.29%,9.81%,88.76%,0.38%,0.67%,1.05%,8.29%
390883,chr19,9236688,9237626,938,25,64,102,1016,8,14,18,127,2.67%,6.82%,10.87%,108.32%,0.85%,1.49%,1.92%,13.54%
81851,chr17,39196811,39197713,902,24,62,102,1296,4,8,10,119,2.66%,6.87%,11.31%,143.68%,0.44%,0.89%,1.11%,13.19%
81870,chr17,39411636,39412616,980,26,45,54,695,2,5,5,78,2.65%,4.59%,5.51%,70.92%,0.20%,0.51%,0.51%,7.96%
149699,chr20,42354804,42355638,834,22,38,55,681,5,6,8,63,2.64%,4.56%,6.59%,81.65%,0.60%,0.72%,0.96%,7.55%
85289,chr17,39305178,39306054,876,23,54,67,1054,2,3,4,74,2.63%,6.16%,7.65%,120.32%,0.23%,0.34%,0.46%,8.45%
390174,chr11,56467864,56468781,917,24,61,92,838,4,7,8,93,2.62%,6.65%,10.03%,91.38%,0.44%,0.76%,0.87%,10.14%
3049,chr16,230452,231180,728,19,45,64,666,0,2,4,58,2.61%,6.18%,8.79%,91.48%,0.00%,0.27%,0.55%,7.97%
390431,chr14,20344391,20345468,1077,28,45,59,839,3,5,9,127,2.60%,4.18%,5.48%,77.90%,0.28%,0.46%,0.84%,11.79%
81850,chr17,39190142,39191107,965,25,62,104,1307,2,5,7,115,2.59%,6.42%,10.78%,135.44%,0.21%,0.52%,0.73%,11.92%
283111,chr11,5220965,5221930,965,25,49,71,1064,5,10,14,154,2.59%,5.08%,7.36%,110.26%,0.52%,1.04%,1.45%,15.96%
337971,chr21,31869142,31869451,309,8,19,21,539,0,1,1,38,2.59%,6.15%,6.80%,174.43%,0.00%,0.32%,0.32%,12.30%
81050,chr3,97806017,97806946,929,24,49,74,1130,4,7,9,128,2.58%,5.27%,7.97%,121.64%,0.43%,0.75%,0.97%,13.78%
219428,chr11,55339604,55340536,932,24,72,99,1056,3,14,18,181,2.58%,7.73%,10.62%,113.30%,0.32%,1.50%,1.93%,19.42%
439915,chr11,1651033,1652160,1127,29,79,139,1089,2,7,17,187,2.57%,7.01%,12.33%,96.63%,0.18%,0.62%,1.51%,16.59%
219487,chr11,56309746,56310757,1011,26,55,86,844,3,7,13,125,2.57%,5.44%,8.51%,83.48%,0.30%,0.69%,1.29%,12.36%
5020,chr20,3052266,3053163,897,23,68,101,684,4,18,28,120,2.56%,7.58%,11.26%,76.25%,0.45%,2.01%,3.12%,13.38%
387264,chr11,1605572,1606513,941,24,70,121,1075,2,5,6,94,2.55%,7.44%,12.86%,114.24%,0.21%,0.53%,0.64%,9.99%
120775,chr11,6942205,6943264,1059,27,64,93,1011,1,4,9,113,2.55%,6.04%,8.78%,95.47%,0.09%,0.38%,0.85%,10.67%
390067,chr11,5565719,5566779,1060,27,76,115,1192,2,2,7,140,2.55%,7.17%,10.85%,112.45%,0.19%,0.19%,0.66%,13.21%
138881,chr9,125329778,125330838,1060,27,64,111,1032,3,10,16,159,2.55%,6.04%,10.47%,97.36%,0.28%,0.94%,1.51%,15.00%
6887,chr9,108424738,108425367,629,16,33,45,719,2,6,11,86,2.54%,5.25%,7.15%,114.31%,0.32%,0.95%,1.75%,13.67%
26534,chr14,22101992,22103096,1104,28,73,118,1119,6,8,17,135,2.54%,6.61%,10.69%,101.36%,0.54%,0.72%,1.54%,12.23%
81168,chr11,55904247,55905194,947,24,64,102,1121,1,5,8,95,2.53%,6.76%,10.77%,118.37%,0.11%,0.53%,0.84%,10.03%
390168,chr11,56380031,56380978,947,24,54,86,832,1,3,8,70,2.53%,5.70%,9.08%,87.86%,0.11%,0.32%,0.84%,7.39%
83900,chr17,39388715,39389705,990,25,45,53,732,2,4,5,89,2.53%,4.55%,5.35%,73.94%,0.20%,0.40%,0.51%,8.99%
79295,chr3,97983088,97984200,1112,28,46,64,1663,2,6,8,176,2.52%,4.14%,5.76%,149.55%,0.18%,0.54%,0.72%,15.83%
81309,chr11,55321783,55322895,1112,28,81,112,1201,4,9,16,159,2.52%,7.28%,10.07%,108.00%,0.36%,0.81%,1.44%,14.30%
101928147,chr21,35772615,35773370,755,19,43,64,728,4,7,12,116,2.52%,5.70%,8.48%,96.42%,0.53%,0.93%,1.59%,15.36%
51806,chr10,5540658,5541533,875,22,60,105,859,3,6,15,78,2.51%,6.86%,12.00%,98.17%,0.34%,0.69%,1.71%,8.91%
143502,chr11,4608021,4609135,1114,28,63,100,1425,0,3,5,93,2.51%,5.66%,8.98%,127.92%,0.00%,0.27%,0.45%,8.35%
79544,chr14,20403767,20404842,1075,27,48,67,958,1,1,1,68,2.51%,4.47%,6.23%,89.12%,0.09%,0.09%,0.09%,6.33%
441670,chr14,20248401,20249516,1115,28,47,60,694,0,1,3,49,2.51%,4.22%,5.38%,62.24%,0.00%,0.09%,0.27%,4.39%
79317,chr14,20388741,20389818,1077,27,46,62,902,1,2,4,60,2.51%,4.27%,5.76%,83.75%,0.09%,0.19%,0.37%,5.57%
