CHR,START,STOP,ENTREZ
chr6,26204858,26206266,8368
chr6,26240561,26240976,8368
chr6,26281283,26285762,8368
chr1,149804221,149811339,8366
chr1,149825607,149832714,8366
chr12,14920933,14924065,8366
chr6,27107076,27108418,8366
chr6,27791884,27792257,8366
chr6,27798952,27799305,8366
chr6,27840926,27841289,8366
chr6,26021907,26022278,8366
chr6,26027124,26027480,8366
chr6,26104104,26104518,8366
chr6,26188938,26189304,8366
chr6,26204858,26206266,8366
chr6,26240561,26240976,8366
chr6,26281283,26285762,8366
chr1,149804221,149811339,8367
chr1,149825607,149832714,8367
chr12,14920933,14924065,8367
chr6,27107076,27108418,8367
chr6,27791884,27792257,8367
chr6,27798952,27799305,8367
chr6,27840926,27841289,8367
chr6,26021907,26022278,8367
chr6,26027124,26027480,8367
chr6,26104104,26104518,8367
chr6,26188938,26189304,8367
chr6,26204858,26206266,8367
chr6,26240561,26240976,8367
chr6,26281283,26285762,8367
chr1,149804221,149811339,8365
chr1,149825607,149832714,8365
chr12,14920933,14924065,8365
chr6,27107076,27108418,8365
chr6,27791884,27792257,8365
chr6,27798952,27799305,8365
chr6,27840926,27841289,8365
chr6,26021907,26022278,8365
chr6,26027124,26027480,8365
chr6,26104104,26104518,8365
chr6,26188938,26189304,8365
chr6,26204858,26206266,8365
chr6,26240561,26240976,8365
chr6,26281283,26285762,8365
chr1,149804221,149811339,8364
chr1,149825607,149832714,8364
chr12,14920933,14924065,8364
chr6,27107076,27108418,8364
chr6,27791884,27792257,8364
chr6,27798952,27799305,8364
chr6,27840926,27841289,8364
chr6,26021907,26022278,8364
chr6,26027124,26027480,8364
chr6,26104104,26104518,8364
chr6,26188938,26189304,8364
chr6,26204858,26206266,8364
chr6,26240561,26240976,8364
chr6,26281283,26285762,8364
chr1,149804221,149811339,8362
chr1,149825607,149832714,8362
chr12,14920933,14924065,8362
chr6,27107076,27108418,8362
chr6,27791884,27792257,8362
chr6,27798952,27799305,8362
chr6,27840926,27841289,8362
chr6,26021907,26022278,8362
chr6,26027124,26027480,8362
chr6,26104104,26104518,8362
chr6,26188938,26189304,8362
chr6,26204858,26206266,8362
chr6,26240561,26240976,8362
chr6,26281283,26285762,8362
chr1,149804221,149811339,8363
chr1,149825607,149832714,8363
chr12,14920933,14924065,8363
chr6,27107076,27108418,8363
chr6,27791884,27792257,8363
chr6,27798952,27799305,8363
chr6,27840926,27841289,8363
chr6,26021907,26022278,8363
chr6,26027124,26027480,8363
chr6,26104104,26104518,8363
chr6,26188938,26189304,8363
chr6,26204858,26206266,8363
chr6,26240561,26240976,8363
chr6,26281283,26285762,8363
chr1,149804221,149811339,8361
chr1,149825607,149832714,8361
chr12,14920933,14924065,8361
chr6,27107076,27108418,8361
chr6,27791884,27792257,8361
chr6,27798952,27799305,8361
chr6,27840926,27841289,8361
chr6,26021907,26022278,8361
chr6,26027124,26027480,8361
chr6,26104104,26104518,8361
chr6,26188938,26189304,8361
chr6,26204858,26206266,8361
chr6,26240561,26240976,8361
chr6,26281283,26285762,8361
chr1,149804221,149811339,8360
chr1,149825607,149832714,8360
chr12,14920933,14924065,8360
chr6,27107076,27108418,8360
chr6,27791884,27792257,8360
chr6,27798952,27799305,8360
chr6,27840926,27841289,8360
chr6,26021907,26022278,8360
chr6,26027124,26027480,8360
chr6,26104104,26104518,8360
chr6,26188938,26189304,8360
chr6,26204858,26206266,8360
chr6,26240561,26240976,8360
chr6,26281283,26285762,8360
chr1,149804221,149811339,8359
chr1,149825607,149832714,8359
chr12,14920933,14924065,8359
chr6,27107076,27108418,8359
chr6,27791884,27792257,8359
chr6,27798952,27799305,8359
chr6,27840926,27841289,8359
chr6,26021907,26022278,8359
chr6,26027124,26027480,8359
chr6,26104104,26104518,8359
chr6,26188938,26189304,8359
chr6,26204858,26206266,8359
chr6,26240561,26240976,8359
chr6,26281283,26285762,8359
chr1,149804221,149811339,8294
chr1,149825607,149832714,8294
chr12,14920933,14924065,8294
chr6,27107076,27108418,8294
chr6,27791884,27792257,8294
chr6,27798952,27799305,8294
chr6,27840926,27841289,8294
chr6,26021907,26022278,8294
chr6,26027124,26027480,8294
chr6,26104104,26104518,8294
chr6,26188938,26189304,8294
chr6,26204858,26206266,8294
chr6,26240561,26240976,8294
chr6,26281283,26285762,8294
chr1,163214295,163291684,8490
chr1,163080911,163291577,8490
chr1,203181955,203242769,1118
chr1,149813505,149814478,723790
chr1,149822643,149823191,723790
chr1,149813505,149814478,8337
chr1,149822643,149823191,8337
chr1,22004791,22110099,84196
chr1,43610824,43622067,440585
chr1,44584522,44600812,128209
chr1,43629846,43736607,10969
chr1,149856010,149858232,8349
chr1,203274619,203278730,7832
chr1,46049518,46084566,4678
chr1,149858525,149858961,8338
chr1,44679127,44686353,55929
chr1,149859019,149859466,317772
chr1,203309756,203320617,2331
chr1,149859440,149872351,51027
chr1,203444956,203460480,5549
chr1,40627045,40706593,6018
chr1,203463271,203477992,26254
chr1,40711619,40717363,127391
chr1,43637820,43720029,149465
chr1,40723779,40759856,10269
chr1,203595689,203713209,493
chr1,149895209,149900236,10262
chr1,40766159,40783488,1298
chr1,203734304,203745361,54900
chr1,43735665,43739673,128218
chr1,44686742,44820932,79033
chr1,203764782,203823252,9877
chr1,43747554,43751288,149466
chr1,22138758,22151714,401944
chr1,43766664,43788779,7075
chr1,46085716,46089729,149483
chr1,203765437,203769686,100381270
chr1,203830731,203839678,6635
chr1,22148738,22263790,3339
chr1,149900543,149908791,10903
chr1,204042243,204096863,9580
chr1,46092976,46153785,60313
chr1,204100190,204121307,55224
chr1,43803478,43818443,4352
chr1,44870866,45117396,55182
chr1,46152886,46160115,51249
chr1,46159996,46216322,3652
chr1,40810522,40888998,64744
chr1,43824626,43828874,991
chr1,204123944,204135465,5972
chr1,178465031,178468769,400797
chr1,46252659,46501796,23139
chr1,204159469,204165614,3814
chr1,204167288,204183220,127845
chr1,149909705,149982625,56957
chr1,204187979,204346793,22874
chr1,43829068,43833696,64834
chr1,204372515,204380919,84919
chr1,40915774,40929390,65243
chr1,204391756,204463852,5287
chr1,40942887,40962015,339559
chr1,43849588,43855479,112950
chr1,40974413,40982228,64789
chr1,46505812,46642160,8503
chr1,45100910,45140227,79639
chr1,22303514,22325135,23436
chr1,150039369,150117505,11311
chr1,40997233,41013841,127396
chr1,22328149,22339032,10136
chr1,46640745,46651630,10103
chr1,43855553,43918321,23334
chr1,45140364,45191263,339541
chr1,22379120,22419437,998
chr1,204485511,204542871,4194
chr1,41086351,41131329,9783
chr1,46654354,46685977,55624
chr1,101461029,101461816,148867
chr1,101361632,101447309,148867
chr1,204586298,204654861,10446
chr1,41157320,41237275,4802
chr1,22443798,22470462,54361
chr1,22778344,22857650,9923
chr1,45205490,45233439,11004
chr1,48226804,48231219,388630
chr1,48226200,48462567,388630
chr1,150121373,150136916,51177
chr1,50871102,50871696,51077
chr14,75179847,75203394,51077
chr1,22890057,22930087,2046
chr1,46669006,46686933,541468
chr1,46713360,46744145,8438
chr1,46726868,46769280,10489
chr1,150190717,150208504,81611
chr1,22962999,22966101,712
chr1,22970123,22974603,714
chr1,43916824,43919660,81888
chr1,22979255,22988031,713
chr1,204797779,204991950,23114
chr1,46769303,46782448,440567
chr1,46769303,46782448,7388
chr1,23037332,23241818,2048
chr1,46805849,46830824,387338
chr1,45240923,45244451,6202
chr1,41249684,41306124,9132
chr1,46859937,46879520,2166
chr1,154452488,154453977,126669
chr1,154442248,154474589,126669
chr1,150229554,150237478,23632
chr1,45249257,45253377,266675
chr1,46972668,46979898,127343
chr1,45265897,45271662,1263
chr1,47011316,47017199,148930
chr1,43990858,44089343,5792
chr1,41326729,41328018,163732
chr1,23279536,23291831,646262
chr1,23337327,23342343,729059
chr1,41445007,41478235,1503
chr1,150237804,150241980,51107
chr1,23345941,23410182,23028
chr1,47023090,47082515,8569
chr1,45271585,45272957,343521
chr1,45274154,45281257,149478
chr1,205012325,205047627,6900
chr1,45285516,45308735,8643
chr1,41481269,41488909,200172
chr1,47073387,47082563,148932
chr1,205052258,205053645,388730
chr1,205055270,205091143,5929
chr1,47098409,47139539,64756
chr1,41492872,41707826,22955
chr1,150240600,150253327,79630
chr1,45316450,45452282,8891
chr1,44115829,44171186,9682
chr1,205111632,205180727,25778
chr1,47124366,47184824,9813
chr1,47134527,47139266,374973
chr1,41827594,41849262,100132074
chr1,205197304,205242471,9911
chr1,41944446,41950344,1907
chr1,47223510,47285085,1580
chr1,150254953,150259505,148523
chr1,205271187,205290883,81788
chr1,23410516,23504301,7798
chr1,41972036,42501596,59269
chr1,23516993,23521222,3352
chr1,205305220,205326218,55220
chr1,150266289,150281414,54460
chr1,45468212,45477001,79654
chr1,23630264,23670829,10236
chr1,205350506,205425082,93273
chr1,42619092,42621495,2981
chr1,47394849,47407156,284541
chr1,47603107,47615413,284541
chr1,47394849,47407156,1579
chr1,47603107,47615413,1579
chr1,42628362,42630389,2980
chr1,42642210,42801548,22887
chr1,150293925,150325671,9129
chr1,205473723,205501921,5129
chr1,47427036,47516423,260293
chr1,23685941,23695935,80818
chr1,23707554,23751233,6920
chr1,42846466,42888249,284716
chr1,47533160,47583991,199974
chr1,42896000,42921938,84217
chr1,45477819,45481247,7389
chr1,42921788,42939056,79717
chr1,44171495,44396831,6487
chr1,47649265,47656716,10158
chr1,47681962,47697892,6886
chr1,69091,70008,79501
chr1,23755056,23811061,55616
chr1,367640,368634,729759
chr1,621059,622053,729759
chr5,180794269,180795263,729759
chr1,367640,368634,81399
chr1,621059,622053,81399
chr5,180794269,180795263,81399
chr1,367640,368634,26683
chr1,621059,622053,26683
chr5,180794269,180795263,26683
chr1,860260,879955,148398
chr1,42929001,43120335,728621
chr1,205538013,205572046,148808
chr1,47715811,47779819,6491
chr1,205577071,205601090,2005
chr1,150335567,150449042,23248
chr1,205626979,205649587,85414
chr1,205681947,205719404,64710
chr1,43124096,43142429,10465
chr11,111900582,111901091,10465
chr1,47799469,47844511,51727
chr1,205737114,205744588,8934
chr1,47881744,47883723,2301
chr1,47901689,47906363,2306
chr1,43148098,43168020,4904
chr1,48688357,48714316,200010
chr1,205758221,205782876,254428
chr1,879584,894689,26155
chr1,45482071,45771881,57643
chr1,45792545,45794347,84842
chr1,150459887,150480078,80222
chr1,205797150,205819260,148811
chr1,895967,901095,339451
chr1,23832922,23857712,1870
chr1,23884409,23886285,3399
chr1,48761044,48937845,54558
chr1,901877,911245,84069
chr1,205882176,205912588,115019
chr1,24018269,24022915,6135
chr1,43198764,43205925,149461
chr1,910579,917497,84808
chr1,48998527,50489585,84871
chr1,206136916,206155151,729533
chr1,49193195,49242641,79656
chr1,43212006,43232755,64175
chr1,206223976,206231639,553
chr1,934342,935552,57801
chr1,206238872,206288647,440712
chr1,948803,949920,9636
chr1,206317459,206332104,1510
chr1,44398992,44402913,9048
chr1,955503,991496,375790
chr1,45794835,45806142,4595
chr1,50513686,50669458,1996
chr1,24069645,24088549,6924
chr1,150480538,150486265,1893
chr1,206516200,206637783,653464
chr1,206516200,206637783,647135
chr1,206516200,206637783,23380
chr1,44412611,44433694,9670
chr1,24104895,24114722,57095
chr1,50883222,50889172,63950
chr1,24117460,24122029,11313
chr1,50905150,51425935,11124
chr1,206643791,206670223,9641
chr1,44435672,44439041,1802
chr1,51426417,51440305,1031
chr1,1006346,1009687,401934
chr1,206680879,206762616,83593
chr1,51567906,51613752,284546
chr1,51701943,51739127,26994
chr1,1017198,1051741,54991
chr1,206744620,206785904,1939
chr1,44440159,44443967,533
chr1,150521884,150533413,54507
chr1,51752930,51810788,22996
chr1,206808881,206857764,8444
chr1,24122089,24127271,2582
chr1,44444615,44456840,8704
chr1,206858289,206907628,9261
chr1,206940947,206945839,3586
chr1,206972215,207016324,29949
chr1,45805342,45809647,114034
chr1,150547032,150552066,4170
chr1,207038699,207042568,50604
chr1,1109264,1133315,254173
chr1,51819935,51985000,2060
chr1,207070788,207077484,11009
chr1,24128375,24165110,3155
chr1,45809555,45956872,10420
chr1,207077731,207096592,9214
chr1,24171567,24194784,2517
chr1,150573327,150602088,2029
chr1,207101863,207119811,5284
chr1,24197016,24285549,1269
chr1,24285599,24289952,55629
chr1,207131310,207143970,83953
chr1,1138888,1142071,8784
chr1,207191866,207206101,79098
chr1,1146706,1149518,7293
chr1,207217194,207226325,55432
chr1,24291294,24307417,10772
chr1,1152288,1167411,51150
chr1,150618701,150669630,55204
chr1,207222801,207254369,5208
chr1,207262187,207273338,725
chr1,150670536,150693364,84072
chr1,1167629,1170421,126792
chr1,1177826,1182102,388581
chr1,207277607,207318317,722
chr1,52042851,52254889,114883
chr1,1189289,1209265,118424
chr1,24382525,24438665,127294
chr1,207494853,207534311,1604
chr1,150702672,150738433,1520
chr1,207627575,207663240,1380
chr1,24446261,24469611,58985
chr1,150768684,150780799,1513
chr1,24480647,24514449,163702
chr1,1215816,1227409,6339
chr1,24645812,24690972,57822
chr1,207669492,207813992,1378
chr1,1227756,1244989,116983
chr1,207818458,207911761,1379
chr1,52254863,52344477,4898
chr1,24683489,24743424,90529
chr1,150782181,150849244,405
chr1,24742284,24799466,57185
chr1,207925402,207968858,4179
chr1,1243947,1247057,126789
chr1,52373628,52456436,5865
chr1,24829387,24867530,11123
chr1,52485803,52521843,51060
chr1,24882602,24935819,400746
chr1,52497775,52499488,112970
chr1,24958207,24999758,10250
chr1,52521797,52556388,91408
chr1,208057594,208084747,947
chr1,52608046,52812358,9372
chr1,150898739,150937213,9869
chr1,1246965,1260071,54973
chr1,208195587,208417665,5362
chr1,52811395,52831865,200014
chr1,25071848,25170815,25932
chr1,209757062,209787283,57172
chr1,52838501,52870131,4998
chr1,150933059,150947479,29956
chr1,209788215,209825811,3914
chr1,52870236,52886511,84950
chr1,209848765,209849733,50486
chr1,209859510,209908295,3290
chr1,209929377,209955668,80342
chr1,150954493,150968110,8416
chr1,52873954,53019159,23318
chr1,209955661,209957904,148304
chr1,209959036,209979465,3664
chr1,150969025,150980851,55793
chr1,210001352,210030910,27042
chr1,1260136,1264277,80772
chr1,53068044,53074723,2882
chr1,210111538,210337636,255928
chr1,53099016,53135355,348378
chr1,53152508,53164038,65260
chr1,1266694,1270686,83756
chr1,53192126,53293014,79699
chr1,1270656,1284730,1855
chr1,210406144,210419976,56256
chr1,53308183,53360670,440590
chr1,210501596,210849638,55733
chr1,150980896,151008189,58497
chr1,53361656,53392884,55268
chr1,25226002,25291612,864
chr1,210856555,211307457,3756
chr1,25549170,25558993,25949
chr1,211431719,211489727,55758
chr1,1288069,1297157,54587
chr1,53392901,53517375,6342
chr1,151009046,151020076,149428
chr1,211499957,211548288,7188
chr1,1309110,1310875,54998
chr1,211649864,211666259,343035
chr1,211744910,211752084,7779
chr1,151020216,151024462,54964
chr1,211836114,211848960,4751
chr1,53527854,53551174,127435
chr1,151023447,151042801,56882
chr1,211916799,212004114,9926
chr1,53552855,53608289,6512
chr1,151030234,151040970,10962
chr1,53662101,53679869,1376
chr1,53679771,53686289,54987
chr1,212113741,212208884,25896
chr1,151043054,151098018,126626
chr1,1321091,1334708,81669
chr1,53692564,53704282,55110
chr12,10758612,10766222,55110
chr1,53692564,53704282,4116
chr1,25568728,25664704,57035
chr1,53711217,53793742,7804
chr1,151104161,151119104,10500
chr1,212208919,212280742,51514
chr1,53925072,53933161,63948
chr1,212458879,212535200,5525
chr1,25598884,25656936,6007
chr1,25688740,25756683,6007
chr1,1337288,1342693,55052
chr1,53971910,54199877,148979
chr1,212537273,212588243,55248
chr1,1353800,1357149,441869
chr1,151129105,151132225,79626
chr1,212606229,212619714,29937
chr1,54231133,54304533,55706
chr1,151129140,151142773,79005
chr1,212738676,212794119,467
chr1,1361508,1363167,643965
chr1,1370241,1378262,64856
chr1,212797789,212800120,149647
chr1,212859760,212873327,55509
chr1,1385069,1405538,219293
chr1,151132224,151138424,388695
chr1,1407143,1433228,83858
chr1,1447531,1470067,83858
chr1,212899495,212965124,25936
chr1,151142462,151148760,29765
chr1,212965170,212989968,128387
chr1,54317392,54356407,54432
chr1,151142463,151167797,6944
chr1,54356912,54376759,1733
chr1,213003483,213020991,149643
chr1,213031597,213072705,28982
chr1,54382247,54411602,51668
chr1,25664408,25688852,23585
chr1,213123862,213165379,79805
chr1,1447531,1470067,55210
chr1,151170425,151222012,8394
chr1,54411750,54433841,115353
chr1,213165524,213189168,90806
chr1,54474412,54483856,388633
chr1,1470554,1475833,339453
chr1,1477053,1510249,29101
chr1,54497347,54519177,9528
chr1,1533392,1535476,643988
chr1,213224589,213448116,26750
chr1,151227179,151239955,5710
chr1,54519260,54578192,127428
chr1,214156524,214214595,5629
chr1,25688740,25756683,6006
chr1,54598747,54619443,200008
chr1,214454445,214510474,56950
chr1,54638009,54665709,606495
chr1,151254094,151264656,57592
chr1,54649714,54691137,51253
chr1,1550795,1565990,142678
chr1,54691105,54879152,23648
chr1,214522039,214725792,5784
chr1,151264273,151300191,5298
chr1,214776538,214837931,1063
chr1,55007930,55104865,26027
chr1,25757388,25826700,55219
chr1,25870071,25895377,26119
chr1,215179118,215410436,3776
chr1,55074855,55089229,338094
chr1,215740735,215795149,51133
chr1,55107463,55175939,374977
chr1,151313116,151319833,5993
chr1,215796236,216596738,7399
chr1,25943959,26112698,57134
chr1,55181495,55208330,7268
chr1,1567474,1570639,8510
chr1,55222571,55230187,25973
chr1,55245385,55266940,55001
chr1,216676588,217311097,2104
chr1,26126667,26144713,57190
chr1,55271736,55307925,163747
chr1,55315306,55352891,1718
chr1,26145131,26159432,56181
chr1,55446465,55457966,199964
chr1,217600334,217804424,55105
chr1,55464606,55476556,7809
chr1,55505221,55530525,255738
chr1,1570603,1590473,728642
chr1,1634169,1655766,728642
chr1,1570603,1590473,984
chr1,1634169,1655766,984
chr1,151336778,151345209,8991
chr1,217804666,218045038,128153
chr1,218458629,218511325,51018
chr1,218519577,218617961,7042
chr1,55532032,55680786,23358
chr1,219347186,219386207,127018
chr1,219858769,220131989,55532
chr1,56960419,57110974,8613
chr1,26158414,26185903,79000
chr1,26187701,26197744,164091
chr1,57110995,57181008,5563
chr1,26210672,26233482,3925
chr1,220141943,220220000,2058
chr1,151372010,151374420,5692
chr1,1592939,1624167,728661
chr1,1656277,1677431,728661
chr1,57184477,57285369,199920
chr1,26286258,26324648,5051
chr1,57320479,57383894,731
chr1,57394883,57431813,732
chr1,26346375,26362955,2134
chr1,220230824,220263804,10380
chr1,57460451,59012406,1600
chr1,220267444,220321380,55699
chr1,26363743,26372624,7780
chr1,58881056,59012474,115209
chr1,26377795,26394927,84676
chr1,59041099,59043166,4070
chr1,26437664,26452034,149420
chr1,26485511,26489119,79927
chr1,59120411,59165764,114803
chr1,26496362,26498551,51042
chr1,220321635,220445796,25782
chr1,59246465,59249785,3725
chr1,151375200,151431941,23126
chr1,26503894,26516377,10256
chr1,59762310,60233347,55277
chr1,60280458,60342050,51361
chr1,220701568,220837803,4139
chr1,1656277,1677431,9906
chr1,60358980,60392462,1573
chr1,220863187,220872499,79762
chr1,220921567,220958150,54996
chr1,151482986,151511168,57530
chr1,220960101,220987735,64757
chr1,60452941,60539442,127795
chr1,221051699,221058401,3142
chr1,221874766,221915518,11221
chr1,222695602,222721445,79802
chr1,61330931,61928465,4774
chr1,222731244,222763275,9015
chr1,151512781,151556059,7286
chr1,62146718,62191095,83941
chr1,26517052,26529459,378807
chr1,26560691,26605299,64793
chr1,222791428,222841354,375056
chr1,26605667,26608007,83442
chr1,62208149,62629592,10207
chr1,151584541,151671567,81609
chr1,26607819,26644854,91544
chr1,1682671,1711896,65220
chr1,222841355,222886552,64853
chr1,151674880,151689290,11189
chr1,222885895,222908538,148362
chr1,62660503,62678000,54596
chr1,1716729,1822495,2782
chr1,62702651,62785085,163782
chr1,222910549,222924147,400823
chr1,1846266,1848735,163688
chr1,222988406,223179337,84976
chr1,1849029,1850712,339456
chr1,62901968,62917475,7398
chr1,223282748,223316624,7100
chr1,1853396,1935276,85452
chr1,151682909,151702281,284485
chr1,223394161,223537544,55061
chr1,1950780,1962192,2563
chr1,26644448,26647014,1043
chr1,151732119,151736040,65005
chr1,26648350,26680621,55057
chr1,223566715,223568812,164127
chr1,223711349,223853436,388743
chr1,62920399,63153969,85440
chr1,1981909,2116834,5590
chr1,26688125,26701013,257101
chr1,151735445,151743808,51686
chr1,26737269,26756213,79727
chr2,184125370,184125774,79727
chr1,223889295,223963720,824
chr1,26758773,26797785,79947
chr1,223967601,224033674,7159
chr1,151742583,151763892,11022
chr1,63063158,63071830,27329
chr1,63249806,63331184,84938
chr1,224301789,224349749,23219
chr1,2115903,2144159,199990
chr1,224363458,224381143,8560
chr1,63788730,63790797,27022
chr1,63833261,63904233,29929
chr1,26798941,26802463,3151
chr1,151772740,151778630,339398
chr1,2160134,2241558,6497
chr1,224415036,224518089,4931
chr1,63906441,64059392,23421
chr1,2252692,2323146,79906
chr1,26856252,26901521,6195
chr1,63989043,64038364,84455
chr1,151810295,151813033,100191040
chr1,151819739,151826173,284486
chr1,224544552,224567161,29097
chr1,151846060,151882284,117145
chr1,2323267,2336883,11079
chr1,64058947,64125916,5236
chr1,151955391,151966866,6281
chr1,152004982,152020383,6282
chr1,152056620,152061540,126637
chr1,224572845,224624735,80232
chr1,152078793,152086556,7062
chr1,64239693,64647181,4919
chr1,152126071,152131704,126638
chr1,2336236,2345236,5192
chr1,152184558,152196669,388697
chr1,64669310,64733051,148581
chr1,152274651,152297679,2312
chr1,152321211,152332482,388698
chr1,64936428,65158741,57685
chr1,152381719,152386739,49860
chr1,152483320,152484653,254910
chr1,224622362,224928251,149111
chr1,152486978,152488486,54544
chr1,152538130,152539248,353145
chr1,152551857,152552980,84648
chr1,152573138,152573562,353144
chr1,2357419,2436969,9651
chr1,152586287,152586574,353143
chr1,152595310,152595579,353142
chr1,152635872,152637135,353141
chr1,65210778,65298915,55225
chr1,152647771,152659877,26239
chr1,152647771,152649050,353140
chr1,152670840,152671918,353139
chr1,152680636,152681967,199834
chr1,152691998,152692905,100129271
chr1,27022524,27108595,8289
chr1,65298912,65432187,3716
chr1,152730506,152734529,448834
chr1,152748848,152749445,353137
chr1,152758690,152760902,353135
chr1,152769227,152770657,353134
chr1,152777311,152779107,353133
chr1,152784447,152785585,353132
chr1,152799949,152800573,353131
chr1,225083964,225586996,127602
chr1,152850793,152857523,4184
chr1,65613232,65697828,205
chr1,152881021,152884362,3713
chr1,152943142,152945050,163778
chr1,152956557,152958289,6698
chr1,152974223,152976332,6707
chr1,65713902,65881552,9829
chr1,153003678,153005376,6699
chr1,153012201,153014407,6703
chr1,153028589,153030013,6700
chr1,225589204,225616627,3930
chr1,153042700,153113927,6701
chr1,153065611,153078660,6704
chr1,2439972,2458039,55229
chr1,153084590,153085991,6705
chr1,153122058,153123345,6706
chr1,153175919,153177596,149018
chr1,27113963,27124889,55650
chr1,153190060,153191793,574414
chr1,225674537,225840844,55740
chr1,153232176,153234598,4014
chr1,65886248,66107242,54741
chr1,65886270,65901690,54741
chr1,65886248,66107242,3953
chr1,27153201,27184093,84243
chr1,153270338,153283194,114771
chr1,2460184,2461684,388585
chr1,153302596,153321316,57115
chr1,2487078,2496821,8764
chr1,225965531,225978168,6726
chr1,225997794,226033260,2052
chr1,153330330,153333503,6280
chr1,153346184,153348125,6283
chr1,153362508,153363664,6279
chr1,226033237,226070069,9725
chr1,153389000,153395701,338324
chr1,27189633,27190947,2810
chr1,66258197,66840259,5142
chr1,27202624,27216788,54707
chr1,153430220,153433177,6278
chr1,27216979,27226957,63906
chr1,153507075,153508720,6277
chr1,153509623,153514241,6276
chr1,27226729,27273353,10726
chr1,226073982,226099082,10637
chr1,226124298,226129189,10637
chr1,153516089,153522612,6275
chr1,226107578,226111978,29920
chr1,153519805,153521848,6274
chr1,27237980,27240457,8431
chr1,27276053,27286897,126695
chr1,27320198,27327389,388610
chr1,226124298,226129189,7044
chr1,153533584,153540366,6273
chr1,2517930,2522908,127281
chr1,27331511,27339327,115572
chr1,66999066,67213982,84251
chr1,226170403,226187032,163859
chr1,27425306,27493472,6548
chr1,153579362,153585621,140576
chr1,226249552,226259702,3021
chr17,73772515,73781974,3021
chr1,226249552,226259702,3020
chr17,73772515,73781974,3020
chr1,153586731,153589462,57402
chr1,2522078,2564481,79258
chr1,226332380,226374431,64746
chr1,67218142,67244470,200132
chr1,153591263,153606568,6284
chr1,226411319,226414755,83881
chr1,67263424,67266939,10022
chr1,153600402,153604513,6271
chr1,226418850,226497570,286826
chr1,67278568,67390570,79819
chr1,153606525,153618782,26097
chr1,226548392,226595780,142
chr1,27561007,27635110,23038
chr1,2567415,2718286,100287898
chr1,153631130,153634306,23557
chr1,2938046,2939465,140625
chr1,226736501,226796915,375057
chr1,2985732,3355185,63976
