CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb
chr19,47137333,47137942,94235,15,44,78,3,7,15,609,2.46%,7.22%,12.81%,0.49%,1.15%,2.46%
chr22,25575276,25575521,50861,32,84,125,3,3,6,245,13.06%,34.29%,51.02%,1.22%,1.22%,2.45%
chr9,133768815,133769225,347148,25,52,74,1,5,10,410,6.10%,12.68%,18.05%,0.24%,1.22%,2.44%
chr11,55761157,55762101,338674,45,101,169,8,10,23,944,4.77%,10.70%,17.90%,0.85%,1.06%,2.44%
chr14,21525981,21526614,122665,25,73,122,3,8,15,633,3.95%,11.53%,19.27%,0.47%,1.26%,2.37%
chr14,21623026,21624222,390445,28,65,98,12,21,28,1196,2.34%,5.43%,8.19%,1.00%,1.76%,2.34%
chr17,39149686,39150385,85293,27,63,110,3,7,16,699,3.86%,9.01%,15.74%,0.43%,1.00%,2.29%
chr1,247614255,247615308,127623,31,80,129,12,19,24,1053,2.94%,7.60%,12.25%,1.14%,1.80%,2.28%
chr11,626431,627143,6343,26,64,116,5,12,16,712,3.65%,8.99%,16.29%,0.70%,1.69%,2.25%
chr14,22037934,22038875,26533,37,92,139,2,13,21,941,3.93%,9.78%,14.77%,0.21%,1.38%,2.23%
chr14,20710898,20711979,390442,21,68,102,5,18,24,1081,1.94%,6.29%,9.44%,0.46%,1.67%,2.22%
chr21,46077849,46078258,386683,38,84,131,3,5,9,409,9.29%,20.54%,32.03%,0.73%,1.22%,2.20%
chr11,298200,299526,387733,53,112,182,7,15,29,1326,4.00%,8.45%,13.73%,0.53%,1.13%,2.19%
chr4,37962056,37962746,10744,20,62,100,3,10,15,690,2.90%,8.99%,14.49%,0.43%,1.45%,2.17%
chr9,125390858,125391852,347169,23,57,91,7,12,21,994,2.31%,5.73%,9.15%,0.70%,1.21%,2.11%
chr20,18794370,18795033,140856,16,55,84,5,9,14,663,2.41%,8.30%,12.67%,0.75%,1.36%,2.11%
chr17,1173853,1174754,727857,27,88,146,3,14,19,901,3.00%,9.77%,16.20%,0.33%,1.55%,2.11%
chr21,46117087,46117959,386685,38,87,132,3,11,18,872,4.36%,9.98%,15.14%,0.34%,1.26%,2.06%
chr21,46117087,46117959,386675,38,87,132,3,11,18,872,4.36%,9.98%,15.14%,0.34%,1.26%,2.06%
chr11,55797895,55798869,219447,41,96,161,6,14,20,974,4.21%,9.86%,16.53%,0.62%,1.44%,2.05%
chr21,46101491,46102078,353332,38,84,129,3,7,12,587,6.47%,14.31%,21.98%,0.51%,1.19%,2.04%
chr21,46074130,46074576,386684,32,77,128,2,6,9,446,7.17%,17.26%,28.70%,0.45%,1.35%,2.02%
chr12,9847980,9848823,29121,23,57,75,6,8,17,843,2.73%,6.76%,8.90%,0.71%,0.95%,2.02%
chr11,49092304,49092552,114799,20,47,75,1,3,5,248,8.06%,18.95%,30.24%,0.40%,1.21%,2.02%
chr11,5602107,5603114,340980,24,74,116,7,16,20,1007,2.38%,7.35%,11.52%,0.70%,1.59%,1.99%
chr19,51273721,51274989,2854,43,100,151,8,20,25,1268,3.39%,7.89%,11.91%,0.63%,1.58%,1.97%
chr11,5079880,5080857,119678,29,64,99,7,11,19,977,2.97%,6.55%,10.13%,0.72%,1.13%,1.94%
chr17,3118915,3119844,8383,19,51,88,4,10,18,929,2.05%,5.49%,9.47%,0.43%,1.08%,1.94%
chr11,55339604,55340536,219428,24,72,99,3,14,18,932,2.58%,7.73%,10.62%,0.32%,1.50%,1.93%
chr11,55681126,55682058,390148,33,74,139,6,11,18,932,3.54%,7.94%,14.91%,0.64%,1.18%,1.93%
chr19,9236688,9237626,390883,25,64,102,8,14,18,938,2.67%,6.82%,10.87%,0.85%,1.49%,1.92%
chr14,21108855,21109850,341799,36,100,159,5,12,19,995,3.62%,10.05%,15.98%,0.50%,1.21%,1.91%
chr1,248813232,248814185,403239,26,38,61,6,11,18,953,2.73%,3.99%,6.40%,0.63%,1.15%,1.89%
chr1,158746472,158747425,81442,17,56,80,2,11,18,953,1.78%,5.88%,8.39%,0.21%,1.15%,1.89%
chr4,184239220,184241927,53842,27,87,142,10,27,51,2707,1.00%,3.21%,5.25%,0.37%,1.00%,1.88%
chr19,14951760,14952689,390892,27,66,114,2,10,17,929,2.91%,7.10%,12.27%,0.22%,1.08%,1.83%
chr11,5344541,5345582,79345,33,94,133,5,13,19,1041,3.17%,9.03%,12.78%,0.48%,1.25%,1.83%
chr14,20482419,20483352,122740,22,49,72,5,11,17,933,2.36%,5.25%,7.72%,0.54%,1.18%,1.82%
chr17,39240459,39241396,100132476,25,62,85,4,13,17,937,2.67%,6.62%,9.07%,0.43%,1.39%,1.81%
chr17,39240459,39241396,81871,25,62,85,4,13,17,937,2.67%,6.62%,9.07%,0.43%,1.39%,1.81%
chr8,11831446,11832108,613210,24,65,91,4,9,12,662,3.63%,9.82%,13.75%,0.60%,1.36%,1.81%
chr17,16586752,16587541,246243,19,44,80,5,7,14,789,2.41%,5.58%,10.14%,0.63%,0.89%,1.77%
chr9,108424738,108425367,6887,16,33,45,2,6,11,629,2.54%,5.25%,7.15%,0.32%,0.95%,1.75%
chr1,152586287,152586574,353143,17,37,40,0,5,5,287,5.92%,12.89%,13.94%,0.00%,1.74%,1.74%
chr8,6782215,6783598,1671,33,83,147,7,13,24,1383,2.39%,6.00%,10.63%,0.51%,0.94%,1.74%
chr11,5322244,5323226,79339,30,88,124,3,10,17,982,3.05%,8.96%,12.63%,0.31%,1.02%,1.73%
chr17,39185949,39186356,728255,25,61,105,2,5,7,407,6.14%,14.99%,25.80%,0.49%,1.23%,1.72%
chr10,5540658,5541533,51806,22,60,105,3,6,15,875,2.51%,6.86%,12.00%,0.34%,0.69%,1.71%
chr17,2030724,2031198,63933,18,47,63,2,4,8,474,3.80%,9.92%,13.29%,0.42%,0.84%,1.69%
chr1,20140523,20141771,54546,20,63,88,6,18,21,1248,1.60%,5.05%,7.05%,0.48%,1.44%,1.68%
chr11,55734975,55735990,282770,41,93,161,2,9,17,1015,4.04%,9.16%,15.86%,0.20%,0.89%,1.67%
chr1,12907261,12908578,101060301,21,49,77,6,13,22,1317,1.59%,3.72%,5.85%,0.46%,0.99%,1.67%
chr1,12907261,12908578,649330,21,49,77,6,13,22,1317,1.59%,3.72%,5.85%,0.46%,0.99%,1.67%
chr1,12907261,12908578,440563,21,49,77,6,13,22,1317,1.59%,3.72%,5.85%,0.46%,0.99%,1.67%
chr1,12907261,12908578,343069,21,49,77,6,13,22,1317,1.59%,3.72%,5.85%,0.46%,0.99%,1.67%
chr8,13424352,13425796,157773,29,78,142,2,10,24,1444,2.01%,5.40%,9.83%,0.14%,0.69%,1.66%
chr4,184242917,184243579,100132463,22,70,112,2,4,11,662,3.32%,10.57%,16.92%,0.30%,0.60%,1.66%
chr16,1025761,1031596,64788,61,125,210,32,56,96,5835,1.05%,2.14%,3.60%,0.55%,0.96%,1.65%
chr11,5443341,5444436,390061,34,97,136,6,13,18,1095,3.11%,8.86%,12.42%,0.55%,1.19%,1.64%
chr11,76813886,76814377,4975,16,44,63,1,4,8,491,3.26%,8.96%,12.83%,0.20%,0.81%,1.63%
chr11,51515282,51516211,119749,33,88,131,3,7,15,929,3.55%,9.47%,14.10%,0.32%,0.75%,1.61%
chr17,39295685,39296739,81871,25,62,85,4,13,17,1054,2.37%,5.88%,8.06%,0.38%,1.23%,1.61%
chr19,15197791,15199032,126370,30,78,118,7,14,20,1241,2.42%,6.29%,9.51%,0.56%,1.13%,1.61%
chr11,5410607,5411664,390059,36,108,152,4,12,17,1057,3.41%,10.22%,14.38%,0.38%,1.14%,1.61%
chr11,5067756,5068691,119679,28,62,100,6,13,15,935,2.99%,6.63%,10.70%,0.64%,1.39%,1.60%
chr11,55872519,55873457,390151,28,73,119,4,9,15,938,2.99%,7.78%,12.69%,0.43%,0.96%,1.60%
chr21,35772615,35773370,101928147,19,43,64,4,7,12,755,2.52%,5.70%,8.48%,0.53%,0.93%,1.59%
chr11,55702932,55703876,10798,35,82,151,5,11,15,944,3.71%,8.69%,16.00%,0.53%,1.17%,1.59%
chr11,55860753,55861762,120586,30,74,122,5,12,16,1009,2.97%,7.33%,12.09%,0.50%,1.19%,1.59%
chr11,5020213,5021160,119682,31,71,108,6,12,15,947,3.27%,7.50%,11.40%,0.63%,1.27%,1.58%
chr20,54823788,54824871,4159,17,42,73,3,8,17,1083,1.57%,3.88%,6.74%,0.28%,0.74%,1.57%
chr14,21249210,21250626,6039,41,97,147,3,11,22,1416,2.90%,6.85%,10.38%,0.21%,0.78%,1.55%
chr22,22599087,22599927,7441,21,65,109,1,5,13,840,2.50%,7.74%,12.98%,0.12%,0.60%,1.55%
chr6,132891461,132892498,319100,20,52,80,5,11,16,1037,1.93%,5.01%,7.71%,0.48%,1.06%,1.54%
chr14,22101992,22103096,26534,28,73,118,6,8,17,1104,2.54%,6.61%,10.69%,0.54%,0.72%,1.54%
chr14,20665495,20666605,390439,19,66,103,2,8,17,1110,1.71%,5.95%,9.28%,0.18%,0.72%,1.53%
chr11,6866883,6867936,144124,25,61,100,4,9,16,1053,2.37%,5.79%,9.50%,0.38%,0.85%,1.52%
chr22,22988780,22990368,91227,22,51,72,10,19,24,1588,1.39%,3.21%,4.53%,0.63%,1.20%,1.51%
chr9,125329778,125330838,138881,27,64,111,3,10,16,1060,2.55%,6.04%,10.47%,0.28%,0.94%,1.51%
chr11,1651033,1652160,439915,29,79,139,2,7,17,1127,2.57%,7.01%,12.33%,0.18%,0.62%,1.51%
chr2,240984494,240985489,150681,14,52,73,3,11,15,995,1.41%,5.23%,7.34%,0.30%,1.11%,1.51%
chr17,39210750,39211482,728279,24,61,97,7,10,11,732,3.28%,8.33%,13.25%,0.96%,1.37%,1.50%
chr11,6789218,6790286,338755,16,49,92,3,9,16,1068,1.50%,4.59%,8.61%,0.28%,0.84%,1.50%
chr19,7733930,7735334,56729,29,72,121,7,17,21,1404,2.07%,5.13%,8.62%,0.50%,1.21%,1.50%
chr21,46086106,46086844,353323,40,87,134,3,6,11,738,5.42%,11.79%,18.16%,0.41%,0.81%,1.49%
chr9,125273081,125274022,26740,20,51,94,2,4,14,941,2.13%,5.42%,9.99%,0.21%,0.43%,1.49%
chr1,41326729,41328018,163732,22,73,115,6,11,19,1289,1.71%,5.66%,8.92%,0.47%,0.85%,1.47%
chr1,247751662,247752615,81470,19,64,101,5,11,14,953,1.99%,6.72%,10.60%,0.52%,1.15%,1.47%
chr11,4935900,4936922,81282,21,53,84,3,12,15,1022,2.05%,5.19%,8.22%,0.29%,1.17%,1.47%
chr19,49519237,49520338,3972,15,49,76,4,9,16,1101,1.36%,4.45%,6.90%,0.36%,0.82%,1.45%
chr9,125315391,125316493,138882,26,62,113,4,13,16,1102,2.36%,5.63%,10.25%,0.36%,1.18%,1.45%
chr11,5220965,5221930,283111,25,49,71,5,10,14,965,2.59%,5.08%,7.36%,0.52%,1.04%,1.45%
chr19,9203855,9204889,125963,30,77,127,3,8,15,1034,2.90%,7.45%,12.28%,0.29%,0.77%,1.45%
chr11,55321783,55322895,81309,28,81,112,4,9,16,1112,2.52%,7.28%,10.07%,0.36%,0.81%,1.44%
chr21,46047040,46048294,386676,31,77,125,8,10,18,1254,2.47%,6.14%,9.97%,0.64%,0.80%,1.44%
chr3,98216448,98217496,402135,16,44,68,5,9,15,1048,1.53%,4.20%,6.49%,0.48%,0.86%,1.43%
chr16,11369496,11370337,5620,21,56,121,3,4,12,841,2.50%,6.66%,14.39%,0.36%,0.48%,1.43%
chr11,4660945,4662068,390038,24,61,112,4,9,16,1123,2.14%,5.43%,9.97%,0.36%,0.80%,1.42%
chr3,196669494,196670411,152217,18,56,95,5,11,13,917,1.96%,6.11%,10.36%,0.55%,1.20%,1.42%
chr7,19184405,19185044,222894,14,29,38,2,6,9,639,2.19%,4.54%,5.95%,0.31%,0.94%,1.41%
chr8,134241299,134241940,8840,23,63,102,1,5,9,641,3.59%,9.83%,15.91%,0.16%,0.78%,1.40%
chr1,248550910,248551836,254879,22,47,67,3,9,13,926,2.38%,5.08%,7.24%,0.32%,0.97%,1.40%
chr11,56229945,56230877,390162,27,63,100,2,11,13,932,2.90%,6.76%,10.73%,0.21%,1.18%,1.39%
chr5,121187650,121188519,94033,15,25,31,4,9,12,869,1.73%,2.88%,3.57%,0.46%,1.04%,1.38%
chr11,3239174,3240043,386746,20,52,86,3,9,12,869,2.30%,5.98%,9.90%,0.35%,1.04%,1.38%
chr11,55563032,55563976,219436,31,72,118,5,8,13,944,3.28%,7.63%,12.50%,0.53%,0.85%,1.38%
chr14,21500979,21502944,440163,23,65,108,5,13,27,1965,1.17%,3.31%,5.50%,0.25%,0.66%,1.37%
chr1,158735466,158736492,128372,17,53,76,3,12,14,1026,1.66%,5.17%,7.41%,0.29%,1.17%,1.36%
chr11,313506,315272,8519,54,113,182,6,12,24,1766,3.06%,6.40%,10.31%,0.34%,0.68%,1.36%
chr11,4790209,4791168,256892,20,47,100,3,5,13,959,2.09%,4.90%,10.43%,0.31%,0.52%,1.36%
chr21,31661463,31661832,100131902,22,46,70,0,3,5,369,5.96%,12.47%,18.97%,0.00%,0.81%,1.36%
chr11,5775923,5776959,390072,31,68,97,5,11,14,1036,2.99%,6.56%,9.36%,0.48%,1.06%,1.35%
chr19,53769929,53770972,317703,36,88,146,5,7,14,1043,3.45%,8.44%,14.00%,0.48%,0.67%,1.34%
chr21,45977673,45978643,386682,26,53,82,0,7,13,970,2.68%,5.46%,8.45%,0.00%,0.72%,1.34%
chr9,35957105,35958151,56656,19,52,88,3,8,14,1046,1.82%,4.97%,8.41%,0.29%,0.76%,1.34%
chr11,56184734,56185708,219479,26,62,92,3,6,13,974,2.67%,6.37%,9.45%,0.31%,0.62%,1.33%
chr11,113650469,113651222,644672,17,45,64,2,6,10,753,2.26%,5.98%,8.50%,0.27%,0.80%,1.33%
chr2,17997763,17998368,343930,11,41,73,1,5,8,605,1.82%,6.78%,12.07%,0.17%,0.83%,1.32%
chr22,20366206,20368028,728441,22,51,72,10,19,24,1822,1.21%,2.80%,3.95%,0.55%,1.04%,1.32%
chr14,20502003,20502919,390433,21,47,71,4,8,12,916,2.29%,5.13%,7.75%,0.44%,0.87%,1.31%
chr17,4688580,4689728,284013,20,64,100,2,8,15,1148,1.74%,5.57%,8.71%,0.17%,0.70%,1.31%
chr7,122634759,122635754,50833,15,35,60,3,5,13,995,1.51%,3.52%,6.03%,0.30%,0.50%,1.31%
chr17,39202793,39203568,81872,23,61,100,4,7,10,775,2.97%,7.87%,12.90%,0.52%,0.90%,1.29%
chr11,56309746,56310757,219487,26,55,86,3,7,13,1011,2.57%,5.44%,8.51%,0.30%,0.69%,1.29%
chr9,125288637,125289572,138883,20,53,99,2,8,12,935,2.14%,5.67%,10.59%,0.21%,0.86%,1.28%
chr11,55889849,55890787,390152,26,71,111,3,8,12,938,2.77%,7.57%,11.83%,0.32%,0.85%,1.28%
chr1,158576229,158577170,128368,15,37,65,1,4,12,941,1.59%,3.93%,6.91%,0.11%,0.43%,1.28%
chr11,5461800,5462744,390063,31,90,128,6,9,12,944,3.28%,9.53%,13.56%,0.64%,0.95%,1.27%
chr11,1642188,1643368,387267,29,78,139,1,7,15,1180,2.46%,6.61%,11.78%,0.08%,0.59%,1.27%
chr10,134598297,134599556,84504,29,58,89,5,13,16,1259,2.30%,4.61%,7.07%,0.40%,1.03%,1.27%
chr11,2949503,2950685,7262,19,77,119,3,10,15,1182,1.61%,6.51%,10.07%,0.25%,0.85%,1.27%
chr12,48866448,48866843,23519,22,59,92,2,6,5,395,5.57%,14.94%,23.29%,0.51%,1.52%,1.27%
chr11,1860219,1862910,7136,21,78,123,7,27,34,2691,0.78%,2.90%,4.57%,0.26%,1.00%,1.26%
chr11,6912721,6913830,120776,25,59,92,6,10,14,1109,2.25%,5.32%,8.30%,0.54%,0.90%,1.26%
chr11,55135360,55136394,81328,28,73,123,2,8,13,1034,2.71%,7.06%,11.90%,0.19%,0.77%,1.26%
chr9,111624603,111626035,10881,17,46,85,3,8,18,1432,1.19%,3.21%,5.94%,0.21%,0.56%,1.26%
chr19,9212945,9213982,390882,29,71,114,4,10,13,1037,2.80%,6.85%,10.99%,0.39%,0.96%,1.25%
chr10,135043778,135045062,8433,23,66,93,3,13,16,1284,1.79%,5.14%,7.24%,0.23%,1.01%,1.25%
chr8,6793344,6795860,1669,30,79,141,7,15,31,2516,1.19%,3.14%,5.60%,0.28%,0.60%,1.23%
chr1,247920676,247921982,26188,22,52,70,6,12,16,1306,1.68%,3.98%,5.36%,0.46%,0.92%,1.23%
chr11,4470525,4471591,119774,30,66,86,4,10,13,1066,2.81%,6.19%,8.07%,0.38%,0.94%,1.22%
chr18,580367,581524,1068,52,120,186,2,8,14,1157,4.49%,10.37%,16.08%,0.17%,0.69%,1.21%
chr12,48596081,48597170,121275,16,38,59,4,9,13,1089,1.47%,3.49%,5.42%,0.37%,0.83%,1.19%
chr14,20691791,20692964,122748,19,64,98,1,8,14,1173,1.62%,5.46%,8.35%,0.09%,0.68%,1.19%
chr11,124789146,124790573,641654,20,62,99,4,12,17,1427,1.40%,4.34%,6.94%,0.28%,0.84%,1.19%
chr21,32090843,32091095,100288323,20,27,29,3,3,3,252,7.94%,10.71%,11.51%,1.19%,1.19%,1.19%
chr15,80135889,80136646,10588,13,37,82,0,3,9,757,1.72%,4.89%,10.83%,0.00%,0.40%,1.19%
chr4,94750042,94751221,474,17,53,61,4,12,14,1179,1.44%,4.50%,5.17%,0.34%,1.02%,1.19%
chr11,56143100,56144029,219417,27,62,91,2,8,11,929,2.91%,6.67%,9.80%,0.22%,0.86%,1.18%
chr17,39221369,39222131,730755,25,62,96,6,8,9,762,3.28%,8.14%,12.60%,0.79%,1.05%,1.18%
chr17,39221369,39222131,85294,25,62,96,6,8,9,762,3.28%,8.14%,12.60%,0.79%,1.05%,1.18%
chr21,31743709,31744557,337959,17,39,53,5,7,10,848,2.00%,4.60%,6.25%,0.59%,0.83%,1.18%
chr17,80560865,80562054,3607,26,78,126,3,8,14,1189,2.19%,6.56%,10.60%,0.25%,0.67%,1.18%
chr11,4928600,4929538,119687,20,53,84,1,6,11,938,2.13%,5.65%,8.96%,0.11%,0.64%,1.17%
chr19,2476120,2478257,4616,34,100,154,3,12,25,2137,1.59%,4.68%,7.21%,0.14%,0.56%,1.17%
chr1,158368312,158369256,128360,15,37,56,2,7,11,944,1.59%,3.92%,5.93%,0.21%,0.74%,1.17%
chr11,55540914,55541858,390142,30,70,112,4,6,11,944,3.18%,7.42%,11.86%,0.42%,0.64%,1.17%
chr11,58169937,58170882,441608,9,24,45,3,7,11,945,0.95%,2.54%,4.76%,0.32%,0.74%,1.16%
chr5,180581943,180582890,285659,26,50,79,3,6,11,947,2.75%,5.28%,8.34%,0.32%,0.63%,1.16%
chr11,5841544,5842578,390077,25,62,87,2,7,12,1034,2.42%,6.00%,8.41%,0.19%,0.68%,1.16%
chr9,71627469,71629039,5568,21,53,89,1,8,18,1570,1.34%,3.38%,5.67%,0.06%,0.51%,1.15%
chr21,46031996,46032871,386681,29,66,110,6,8,10,875,3.31%,7.54%,12.57%,0.69%,0.91%,1.14%
chr5,177612720,177614300,64396,14,53,110,2,9,18,1580,0.89%,3.35%,6.96%,0.13%,0.57%,1.14%
chr11,124439893,124441037,390275,17,35,60,2,9,13,1144,1.49%,3.06%,5.24%,0.17%,0.79%,1.14%
chr20,61637331,61638387,128408,20,64,111,2,4,12,1056,1.89%,6.06%,10.51%,0.19%,0.38%,1.14%
chr21,45970240,45971388,386679,25,51,78,0,7,13,1148,2.18%,4.44%,6.79%,0.00%,0.61%,1.13%
chr2,240968841,240969906,389090,17,55,79,3,8,12,1065,1.60%,5.16%,7.42%,0.28%,0.75%,1.13%
chr11,51411378,51412448,81318,29,72,107,2,7,12,1070,2.71%,6.73%,10.00%,0.19%,0.65%,1.12%
chr17,39253233,39254393,728224,24,59,77,2,11,13,1160,2.07%,5.09%,6.64%,0.17%,0.95%,1.12%
chr11,1628795,1629693,387266,28,76,131,2,6,10,898,3.12%,8.46%,14.59%,0.22%,0.67%,1.11%
chr9,125376948,125378026,158131,23,58,94,2,4,12,1078,2.13%,5.38%,8.72%,0.19%,0.37%,1.11%
chr17,39196811,39197713,81851,24,62,102,4,8,10,902,2.66%,6.87%,11.31%,0.44%,0.89%,1.11%
chr17,39273433,39274606,728224,24,59,77,2,11,13,1173,2.05%,5.03%,6.56%,0.17%,0.94%,1.11%
chr11,6897856,6898850,283297,24,57,90,2,7,11,994,2.41%,5.73%,9.05%,0.20%,0.70%,1.11%
chr17,45055523,45056614,388394,7,25,47,1,6,12,1091,0.64%,2.29%,4.31%,0.09%,0.55%,1.10%
chr14,21510385,21512393,84659,23,69,112,5,12,22,2008,1.15%,3.44%,5.58%,0.25%,0.60%,1.10%
chr6,144416018,144416754,83443,11,32,49,2,5,8,736,1.49%,4.35%,6.66%,0.27%,0.68%,1.09%
chr11,4944531,4945637,79324,20,52,83,5,9,12,1106,1.81%,4.70%,7.50%,0.45%,0.81%,1.08%
chr17,55821842,55822673,101927581,16,51,97,2,3,9,831,1.93%,6.14%,11.67%,0.24%,0.36%,1.08%
chr16,56642111,56643409,4502,22,69,123,1,9,14,1298,1.69%,5.32%,9.48%,0.08%,0.69%,1.08%
chr16,1290697,1292555,7177,24,66,128,1,7,20,1858,1.29%,3.55%,6.89%,0.05%,0.38%,1.08%
chr2,128458597,128461385,84826,16,50,84,7,21,30,2788,0.57%,1.79%,3.01%,0.25%,0.75%,1.08%
chr16,56685811,56687116,4490,20,62,108,2,9,14,1305,1.53%,4.75%,8.28%,0.15%,0.69%,1.07%
chr1,158389718,158390656,391107,15,39,63,3,7,10,938,1.60%,4.16%,6.72%,0.32%,0.75%,1.07%
chr20,2795633,2796479,128653,17,36,67,3,8,9,846,2.01%,4.26%,7.92%,0.35%,0.95%,1.06%
chr9,125281420,125282361,26219,19,50,93,2,4,10,941,2.02%,5.31%,9.88%,0.21%,0.43%,1.06%
chr17,39215495,39216344,730755,25,62,96,6,8,9,849,2.94%,7.30%,11.31%,0.71%,0.94%,1.06%
chr17,39215495,39216344,85294,25,62,96,6,8,9,849,2.94%,7.30%,11.31%,0.71%,0.94%,1.06%
chr16,56672578,56673999,4489,21,72,128,3,10,15,1421,1.48%,5.07%,9.01%,0.21%,0.70%,1.06%
chr9,35906189,35907138,646962,16,43,75,5,9,10,949,1.69%,4.53%,7.90%,0.53%,0.95%,1.05%
chr8,6912831,6914256,1670,20,76,109,4,12,15,1425,1.40%,5.33%,7.65%,0.28%,0.84%,1.05%
chr17,39333698,39334460,85291,21,52,65,4,7,8,762,2.76%,6.82%,8.53%,0.52%,0.92%,1.05%
chr11,56236964,56238014,219482,28,66,103,4,7,11,1050,2.67%,6.29%,9.81%,0.38%,0.67%,1.05%
chr11,93342926,93343499,29104,11,30,47,1,3,6,573,1.92%,5.24%,8.20%,0.17%,0.52%,1.05%
chr11,6890924,6891976,341276,25,59,94,3,7,11,1052,2.38%,5.61%,8.94%,0.29%,0.67%,1.05%
chr11,123676043,123677095,390261,9,37,64,2,6,11,1052,0.86%,3.52%,6.08%,0.19%,0.57%,1.05%
chr19,7745729,7747744,126003,29,70,120,4,11,21,2015,1.44%,3.47%,5.96%,0.20%,0.55%,1.04%
chr11,5877904,5878964,390079,22,52,79,3,7,11,1060,2.08%,4.91%,7.45%,0.28%,0.66%,1.04%
chr11,7960081,7961141,26496,16,51,93,1,3,11,1060,1.51%,4.81%,8.77%,0.09%,0.28%,1.04%
chr1,158516918,158517895,391112,16,39,70,3,5,10,977,1.64%,3.99%,7.16%,0.31%,0.51%,1.02%
chr20,62714733,62715712,198437,20,48,74,3,5,10,979,2.04%,4.90%,7.56%,0.31%,0.51%,1.02%
chr7,18066405,18067486,221823,10,40,60,0,6,11,1081,0.93%,3.70%,5.55%,0.00%,0.56%,1.02%
chr11,55606228,55607214,390144,35,74,126,1,5,10,986,3.55%,7.51%,12.78%,0.10%,0.51%,1.01%
chr21,31973414,31973612,337979,13,21,24,2,2,2,198,6.57%,10.61%,12.12%,1.01%,1.01%,1.01%
chr1,50871102,50871696,51077,17,37,43,3,6,6,594,2.86%,6.23%,7.24%,0.51%,1.01%,1.01%
chr4,176415765,176417151,80746,11,45,72,4,11,14,1386,0.79%,3.25%,5.19%,0.29%,0.79%,1.01%
chr11,6806248,6807245,144125,16,52,94,2,4,10,997,1.60%,5.22%,9.43%,0.20%,0.40%,1.00%
chr21,46057273,46058370,353333,31,78,128,2,7,11,1097,2.83%,7.11%,11.67%,0.18%,0.64%,1.00%
chr11,57798402,57799403,219952,16,38,68,4,6,10,1001,1.60%,3.80%,6.79%,0.40%,0.60%,1.00%
chr11,4967355,4968356,401666,23,61,87,0,4,10,1001,2.30%,6.09%,8.69%,0.00%,0.40%,1.00%
chr22,19136089,19137796,2928,21,39,58,7,14,17,1707,1.23%,2.28%,3.40%,0.41%,0.82%,1.00%
chr19,51874860,51875969,4818,26,46,71,4,8,11,1109,2.34%,4.15%,6.40%,0.36%,0.72%,0.99%
chr2,217724181,217724787,7141,11,29,51,1,2,6,606,1.82%,4.79%,8.42%,0.17%,0.33%,0.99%
