ENSGID,ENTREZ,CHR,START,END,EXON_LENGTH,GENESIZE,EXON_RATIO
ENSG00000143839,5972,1,204123944,204135465,1465,11522,0.127148065
ENSG00000086015,23139,1,46252659,46501796,6060,249138,0.024323869
ENSG00000170498,3814,1,204159469,204165614,709,6146,0.115359583
ENSG00000174567,127845,1,204167288,204183220,883,15933,0.055419569
ENSG00000143850,22874,1,204187979,204346793,7461,158815,0.04697919
ENSG00000066322,102466723,1,43829068,43833696,1477,4629,0.319075394
ENSG00000066322,64834,1,43829068,43833696,1477,4629,0.319075394
ENSG00000158615,84919,1,204372515,204380919,5227,8405,0.621891731
ENSG00000187801,65243,1,40915774,40929390,2109,13617,0.154879929
ENSG00000133056,5287,1,204391756,204463852,8631,72097,0.119713719
ENSG00000187815,339559,1,40942887,40962015,2871,19129,0.150086256
ENSG00000159479,112950,1,43849588,43855479,2037,5892,0.345723014
ENSG00000164002,64789,1,40974413,40982228,3092,7816,0.395598772
ENSG00000117461,8503,1,46505812,46642160,6213,136349,0.045566891
ENSG00000126106,79639,1,45100910,45140227,3635,39318,0.092451295
ENSG00000219073,23436,1,22303514,22325135,1483,21622,0.06858755
ENSG00000136631,11311,1,150039369,150117505,3115,78137,0.039865877
ENSG00000117010,127396,1,40997233,41013841,2738,16609,0.164850382
ENSG00000142789,10136,1,22328149,22339032,1224,10884,0.112458655
ENSG00000117472,10103,1,46640745,46651630,1615,10886,0.148355686
ENSG00000198198,23334,1,43855553,43918321,12980,62769,0.206789976
ENSG00000198520,339541,1,45140364,45191263,2198,50900,0.043182711
ENSG00000070831,998,1,22379120,22419437,3470,40318,0.086065777
ENSG00000198625,4194,1,204485511,204542871,10764,57361,0.187653632
ENSG00000117016,9783,1,41086351,41131329,7235,44979,0.160852842
ENSG00000085998,55624,1,46654354,46685977,3888,31624,0.122944599
ENSG00000170382,10446,1,204586298,204654861,5578,68564,0.081354647
ENSG00000066136,4802,1,41157320,41237275,4218,79956,0.052754015
ENSG00000162552,54361,1,22443798,22470462,4527,26665,0.169773111
ENSG00000184677,9923,1,22778344,22857650,8992,79307,0.113382173
ENSG00000142945,11004,1,45205490,45233439,3354,27950,0.12
ENSG00000023902,51177,1,150121373,150136916,2729,15544,0.175566135
ENSG00000070886,2046,1,22890057,22930087,5358,40031,0.133846269
ENSG00000171357,541468,1,46669006,46686933,1854,17928,0.103413655
ENSG00000085999,8438,1,46713360,46744145,3146,30786,0.102189307
ENSG00000132128,10489,1,46726868,46769280,3190,42413,0.075212789
ENSG00000143401,81611,1,150190717,150208504,3607,17788,0.202777153
ENSG00000173372,712,1,22962999,22966101,1272,3103,0.409925878
ENSG00000159189,714,1,22970123,22974603,1335,4481,0.29792457
ENSG00000178922,81888,1,43916824,43919660,1307,2837,0.46069792
ENSG00000173369,713,1,22979255,22988031,1601,8777,0.182408568
ENSG00000163531,23114,1,204797779,204991950,11454,194172,0.058988938
ENSG00000173660,440567,1,46769303,46782448,604,13146,0.045945535
ENSG00000173660,7388,1,46769303,46782448,604,13146,0.045945535
ENSG00000133216,2048,1,23037332,23241818,5932,204487,0.029009179
ENSG00000117481,387338,1,46805849,46830824,2444,24976,0.09785394
ENSG00000142937,94163,1,45240923,45244451,881,3529,0.249645792
ENSG00000142937,26811,1,45240923,45244451,881,3529,0.249645792
ENSG00000142937,6202,1,45240923,45244451,881,3529,0.249645792
ENSG00000117013,9132,1,41249684,41306124,4156,56441,0.073634415
ENSG00000117480,2166,1,46859937,46879520,2094,19584,0.10692402
ENSG00000118298,23632,1,150229554,150237478,2403,7925,0.303217666
ENSG00000142959,266675,1,45249257,45253377,2047,4121,0.496724096
ENSG00000197587,127343,1,46972668,46979898,2896,7231,0.400497856
ENSG00000173846,1263,1,45265897,45271662,2492,5766,0.432188692
ENSG00000162456,148930,1,47011316,47017199,1037,5884,0.176240653
ENSG00000142949,5792,1,43990858,44089343,7876,98486,0.079970757
ENSG00000179862,163732,1,41326729,41328018,1290,1290,1
ENSG00000215906,646262,1,23279536,23291831,1641,12296,0.133458035
ENSG00000227868,729059,1,23337327,23342343,609,5017,0.121387283
ENSG00000171793,1503,1,41445007,41478235,3663,33229,0.110235036
ENSG00000117362,51107,1,150237804,150241980,2355,4177,0.563801772
ENSG00000004487,23028,1,23345941,23410182,3159,64242,0.049173438
ENSG00000079277,8569,1,47023090,47082515,3904,59426,0.06569515
ENSG00000188396,343521,1,45271585,45272957,1265,1373,0.921340131
ENSG00000222009,149478,1,45274154,45281257,1637,7104,0.230433559
ENSG00000184144,6900,1,205012325,205047627,8141,35303,0.230603631
ENSG00000117425,8643,1,45285516,45308735,5149,23220,0.221748493
ENSG00000171790,200172,1,41481269,41488909,4310,7641,0.564062296
ENSG00000142961,148932,1,47073387,47082563,5916,9177,0.644655116
ENSG00000174529,388730,1,205052258,205053645,1388,1388,1
ENSG00000117222,5929,1,205055270,205091143,4404,35874,0.122763004
ENSG00000123472,64756,1,47098409,47139539,4466,41131,0.108579903
ENSG00000010803,22955,1,41492872,41707826,3822,214955,0.017780466
ENSG00000118292,79630,1,150240600,150253327,1351,12728,0.106143935
ENSG00000070785,8891,1,45316450,45452282,1948,135833,0.014341139
ENSG00000066135,9682,1,44115829,44171186,4474,55358,0.080819394
ENSG00000133059,25778,1,205111632,205180727,7908,69096,0.114449462
ENSG00000159658,9813,1,47124366,47184824,6008,60459,0.099373129
ENSG00000186118,374973,1,47134527,47139266,1545,4740,0.325949367
ENSG00000133069,9911,1,205197304,205242471,4348,45168,0.096262841
ENSG00000127129,1907,1,41944446,41950344,1241,5899,0.21037464
ENSG00000142973,1580,1,47223510,47285085,2282,61576,0.037059893
ENSG00000159208,148523,1,150254953,150259505,1869,4553,0.410498572
ENSG00000163545,81788,1,205271187,205290883,3405,19697,0.172868965
ENSG00000169641,7798,1,23410516,23504301,9739,93786,0.103842791
ENSG00000127124,59269,1,41972036,42501596,12408,529561,0.023430728
ENSG00000179546,3352,1,23516993,23521222,2849,4230,0.673522459
ENSG00000162873,55220,1,205305220,205326218,3624,20999,0.172579647
ENSG00000126107,79654,1,45468212,45477001,3824,8790,0.435039818
ENSG00000125944,10236,1,23630264,23670829,7815,40566,0.192649016
ENSG00000186007,93273,1,205350506,205425082,1025,74577,0.013744184
ENSG00000044012,2981,1,42619092,42621495,597,2404,0.248336106
ENSG00000187048,284541,1,47394849,47407156,2915,12308,0.236837829
ENSG00000187048,1579,1,47394849,47407156,2915,12308,0.236837829
ENSG00000197273,2980,1,42628362,42630389,569,2028,0.280571992
ENSG00000198815,22887,1,42642210,42801548,6893,159339,0.043259968
ENSG00000117360,9129,1,150293925,150325671,2529,31747,0.07966107
ENSG00000117266,5129,1,205473723,205501921,3235,28199,0.11472038
ENSG00000186377,260293,1,47427036,47516423,2750,89388,0.030764756
ENSG00000125945,80818,1,23685941,23695935,4392,9995,0.43941971
ENSG00000249087,148898,1,23695490,23698332,2622,2843,0.922265213
ENSG00000204219,6920,1,23707554,23751233,3122,43680,0.071474359
ENSG00000177181,284716,1,42846466,42888249,8981,41784,0.214938733
ENSG00000186160,199974,1,47533160,47583991,1906,50832,0.037496065
ENSG00000066185,84217,1,42896000,42921938,1775,25939,0.068429778
ENSG00000162365,284541,1,47603107,47615413,2922,12307,0.237425855
ENSG00000162365,1579,1,47603107,47615413,2922,12307,0.237425855
ENSG00000126088,7389,1,45477819,45481247,1300,3429,0.379119277
ENSG00000127125,79717,1,42921788,42939056,2026,17269,0.117320053
ENSG00000126091,6487,1,44171495,44396831,2589,225337,0.011489458
ENSG00000162366,10158,1,47649265,47656716,1191,7452,0.159822866
ENSG00000162367,6886,1,47681962,47697892,5068,15931,0.318121901
ENSG00000186092,79501,1,69091,70008,918,918,1
ENSG00000088280,55616,1,23755056,23811061,4194,56006,0.074884834
ENSG00000187634,148398,1,860260,879955,2759,19696,0.140079204
ENSG00000186409,728621,1,42929001,43120335,4496,191335,0.023498053
ENSG00000174514,148808,1,205538013,205572046,4095,34034,0.120320856
ENSG00000123473,6491,1,47715811,47779819,5549,64009,0.086690934
ENSG00000158711,2005,1,205577071,205601090,10937,24020,0.455328893
ENSG00000163125,23248,1,150335567,150449042,8283,113476,0.072993408
ENSG00000158715,85414,1,205626979,205649587,3341,22609,0.147773011
ENSG00000069275,64710,1,205681947,205719404,6496,37458,0.173420898
ENSG00000171960,10465,1,43124096,43142429,2172,18334,0.118468419
ENSG00000162368,51727,1,47799469,47844511,3508,45043,0.077881136
ENSG00000117280,8934,1,205737114,205744588,3471,7475,0.464347826
ENSG00000186790,2301,1,47881744,47883723,1980,1980,1
ENSG00000186564,2306,1,47901689,47906363,4675,4675,1
ENSG00000269113,388630,1,48226200,48462567,7034,236368,0.029758681
ENSG00000065978,4904,1,43148098,43168020,1893,19923,0.095015811
ENSG00000117834,200010,1,48688357,48714316,3274,25960,0.126117103
ENSG00000133065,254428,1,205758221,205782876,4997,24656,0.202668722
ENSG00000188976,26155,1,879584,894689,2790,15106,0.184694823
ENSG00000162415,57643,1,45482071,45771881,5819,289811,0.020078603
ENSG00000186603,84842,1,45792545,45794347,1803,1803,1
ENSG00000143374,102465529,1,150459887,150480078,2735,20192,0.135449683
ENSG00000143374,80222,1,150459887,150480078,2735,20192,0.135449683
ENSG00000162877,148811,1,205797150,205819260,2152,22111,0.097327122
ENSG00000187961,339451,1,895967,901095,2560,5129,0.499122636
ENSG00000007968,1870,1,23832922,23857712,5191,24791,0.209390505
ENSG00000117318,3399,1,23884409,23886285,1251,1877,0.666489078
ENSG00000132122,54558,1,48761044,48937845,5051,176802,0.028568681
ENSG00000187583,84069,1,901877,911245,2714,9369,0.289678728
ENSG00000174502,115019,1,205882176,205912588,4799,30413,0.157794364
ENSG00000142676,6135,1,24018269,24022915,1458,4647,0.313750807
ENSG00000164007,149461,1,43198764,43205925,3602,7162,0.502932142
ENSG00000187642,84808,1,910579,917497,3064,6919,0.44283856
ENSG00000186094,84871,1,48998527,50489585,7163,1491059,0.004803968
ENSG00000196550,729533,1,206136916,206155151,3620,18236,0.198508445
ENSG00000162373,79656,1,49193195,49242641,1716,49447,0.034703824
ENSG00000117385,64175,1,43212006,43232755,3215,20750,0.154939759
ENSG00000198049,553,1,206223976,206231639,2237,7664,0.291884134
ENSG00000188290,57801,1,934342,935552,1040,1211,0.858794385
ENSG00000187608,9636,1,948803,949920,711,1118,0.635957066
ENSG00000196188,1510,1,206317459,206332104,2243,14646,0.153147617
ENSG00000117407,9048,1,44398992,44402913,2658,3922,0.677715451
ENSG00000188157,375790,1,955503,991496,7392,35994,0.205367561
ENSG00000132781,4595,1,45794835,45806142,2724,11308,0.240891404
ENSG00000162374,1996,1,50513686,50669458,4709,155773,0.030229886
ENSG00000011007,6924,1,24069645,24088549,5154,18905,0.272626289
ENSG00000143369,1893,1,150480538,150486265,2166,5728,0.378142458
ENSG00000117408,9670,1,44412611,44433694,4530,21084,0.214854866
ENSG00000057757,57095,1,24104895,24114722,2186,9828,0.222425722
ENSG00000142700,63950,1,50883222,50889172,3225,5951,0.541925727
ENSG00000011009,11313,1,24117460,24122029,2175,4570,0.475929978
ENSG00000185104,11124,1,50905150,51425935,4535,520786,0.008707991
ENSG00000132768,1802,1,44435672,44439041,2472,3370,0.733531157
ENSG00000123080,1031,1,51426417,51440305,3318,13889,0.238894089
ENSG00000237330,401934,1,1006346,1009687,1902,3342,0.569120287
ENSG00000204006,284546,1,51567906,51613752,998,45847,0.021768055
ENSG00000123091,26994,1,51701943,51739127,3084,37185,0.082936668
ENSG00000131591,54991,1,1017198,1051741,4031,34544,0.116691755
ENSG00000143486,1939,1,206744620,206785904,2097,41285,0.050793266
ENSG00000117410,533,1,44440159,44443967,2416,3809,0.634287214
ENSG00000143382,54507,1,150521884,150533413,4501,11530,0.39037294
ENSG00000085831,22996,1,51752930,51810788,9295,57859,0.160649164
ENSG00000143479,8444,1,206808881,206857764,2705,48884,0.055335079
ENSG00000117308,2582,1,24122089,24127271,1881,5183,0.362917229
ENSG00000117411,8704,1,44444615,44456840,2947,12226,0.241043677
ENSG00000162889,9261,1,206858289,206907628,3591,49340,0.072780705
ENSG00000136634,3586,1,206940947,206945839,1630,4893,0.33312896
ENSG00000142224,29949,1,206972215,207016324,1967,44110,0.044593063
ENSG00000203804,,1,150533480,150533969,490,490,1
ENSG00000132773,114034,1,45805342,45809647,2389,4306,0.554807246
ENSG00000143384,4170,1,150547032,150552066,3932,5035,0.780933466
ENSG00000162891,50604,1,207038699,207042568,1567,3870,0.404909561
ENSG00000162571,254173,1,1109264,1133315,3154,24052,0.131132546
ENSG00000085832,2060,1,51819935,51985000,5336,165066,0.032326463
ENSG00000162892,11009,1,207070788,207077484,1979,6697,0.29550545
ENSG00000117305,3155,1,24128375,24165110,2257,36736,0.061438371
ENSG00000070759,10420,1,45809555,45956872,3279,147318,0.022257973
ENSG00000162894,9214,1,207077731,207096592,2144,18862,0.113667692
ENSG00000179163,2517,1,24171567,24194784,2047,23218,0.088164355
ENSG00000143420,2029,1,150573327,150602088,5416,28762,0.188304012
ENSG00000162896,5284,1,207101863,207119811,4279,17949,0.238397682
ENSG00000188822,1269,1,24197016,24285549,5468,88534,0.061761583
ENSG00000189266,55629,1,24285599,24289952,2564,4354,0.588883785
ENSG00000162897,83953,1,207131310,207143970,2783,12661,0.219808862
ENSG00000186891,8784,1,1138888,1142071,1370,3184,0.430276382
ENSG00000182795,79098,1,207191866,207206101,5502,14236,0.386484968
ENSG00000186827,7293,1,1146706,1149518,1068,2813,0.379665837
ENSG00000180667,55432,1,207217194,207226325,6521,9132,0.714082348
ENSG00000188529,100996657,1,24291294,24307417,6102,16124,0.378442074
ENSG00000188529,10772,1,24291294,24307417,6102,16124,0.378442074
ENSG00000078808,51150,1,1152288,1167411,2212,15124,0.146257604
ENSG00000143457,55204,1,150618701,150669630,3195,50930,0.062733163
ENSG00000123836,5208,1,207222801,207254369,9542,31569,0.302258545
ENSG00000123843,725,1,207262187,207273338,1852,11152,0.166068867
ENSG00000143452,84072,1,150670536,150693364,1915,22829,0.083884533
ENSG00000176022,126792,1,1167629,1170421,2793,2793,1
ENSG00000184163,388581,1,1177826,1182102,1036,4277,0.242225859
ENSG00000123838,722,1,207277607,207318317,2345,40711,0.05760114
ENSG00000117859,114883,1,52042851,52254889,5073,212039,0.023924844
ENSG00000160087,118424,1,1189289,1209265,3433,19977,0.171847625
ENSG00000142661,127294,1,24382525,24438665,6399,56141,0.11398087
ENSG00000196352,1604,1,207494853,207534311,3483,39459,0.088268836
ENSG00000163131,1520,1,150702672,150738433,4107,35762,0.11484257
ENSG00000117322,1380,1,207627575,207663240,4240,35666,0.118880727
ENSG00000142677,58985,1,24446261,24469611,2798,23351,0.119823562
ENSG00000143387,1513,1,150768684,150780799,1878,12116,0.155001651
ENSG00000185436,163702,1,24480647,24514449,4923,33803,0.145637961
ENSG00000162572,6339,1,1215816,1227409,4025,11594,0.347162325
ENSG00000158055,57822,1,24645812,24690972,3552,45161,0.078651934
ENSG00000203710,1378,1,207669492,207813992,8825,144501,0.061072242
ENSG00000131584,116983,1,1227756,1244989,3896,17234,0.226064756
ENSG00000197721,1379,1,207818458,207911761,1788,93304,0.019163166
ENSG00000078618,4898,1,52254863,52344477,4083,89615,0.045561569
ENSG00000001460,90529,1,24683489,24743424,3619,59936,0.060381073
ENSG00000143437,405,1,150782181,150849244,4943,67064,0.073705714
ENSG00000001461,57185,1,24742284,24799466,8619,57183,0.150726615
ENSG00000117335,4179,1,207925402,207968858,3371,43457,0.077570932
ENSG00000169972,126789,1,1243947,1247057,1381,3111,0.443908711
ENSG00000169213,5865,1,52373628,52456436,12844,82809,0.155103914
ENSG00000117602,11123,1,24829387,24867530,6964,38144,0.182571309
ENSG00000117862,51060,1,52485803,52521843,2949,36041,0.081823479
ENSG00000184454,400746,1,24882602,24935819,3953,53218,0.074279379
ENSG00000198841,112970,1,52497775,52499488,1714,1714,1
ENSG00000133226,10250,1,24958207,24999758,4427,41552,0.106541201
ENSG00000134717,91408,1,52521797,52556388,5142,34592,0.148647086
ENSG00000174059,947,1,208057594,208084747,3652,27154,0.134492156
ENSG00000157077,9372,1,52608046,52812358,4915,204313,0.024056227
ENSG00000143379,9869,1,150898739,150937213,5036,38475,0.130890188
ENSG00000127054,102465435,1,1246965,1260071,3032,13107,0.231326772
ENSG00000127054,54973,1,1246965,1260071,3032,13107,0.231326772
ENSG00000076356,5362,1,208195587,208417665,11444,222079,0.051531212
ENSG00000154222,200014,1,52811395,52831865,5710,20471,0.278931171
ENSG00000169504,25932,1,25071848,25170815,4346,98968,0.043913184
ENSG00000008118,57172,1,209757062,209787283,2612,30222,0.086427106
ENSG00000085840,4998,1,52838501,52870131,3157,31631,0.099807151
ENSG00000143418,29956,1,150933059,150947479,3802,14421,0.263643298
ENSG00000196878,3914,1,209788215,209825811,4688,37597,0.1246908
ENSG00000134748,84950,1,52870236,52886511,5274,16276,0.32403539
ENSG00000123689,50486,1,209848765,209849733,866,969,0.89370485
ENSG00000117594,3290,1,209859510,209908295,1526,48786,0.031279465
ENSG00000009790,80342,1,209929377,209955668,3136,26292,0.119275825
ENSG00000143412,8416,1,150954493,150968110,1826,13618,0.134087237
ENSG00000134744,23318,1,52873954,53019159,7582,145206,0.052215473
ENSG00000162757,148304,1,209955661,209957904,1576,2244,0.702317291
ENSG00000117595,3664,1,209959036,209979465,4505,20430,0.220509055
ENSG00000143409,55793,1,150969025,150980851,3576,11827,0.302359009
ENSG00000117597,27042,1,210001352,210030910,10376,29559,0.35102676
ENSG00000224051,80772,1,1260136,1264277,2545,4142,0.61443747
ENSG00000116157,2882,1,53068044,53074723,1228,6680,0.183832335
ENSG00000143469,255928,1,210111538,210337636,5395,226099,0.023861229
ENSG00000182183,348378,1,53099016,53135355,748,36340,0.020583379
ENSG00000162377,65260,1,53152508,53164038,1620,11531,0.140490851
ENSG00000169962,83756,1,1266694,1270686,3433,3993,0.85975457
ENSG00000162378,79699,1,53192126,53293014,8211,100889,0.081386474
ENSG00000107404,1855,1,1270656,1284730,3239,14075,0.230124334
ENSG00000082497,56256,1,210406144,210419976,5219,13833,0.3772862
ENSG00000203995,440590,1,53308183,53360670,4694,52488,0.089429965
ENSG00000054392,55733,1,210501596,210849638,4296,348043,0.012343302
ENSG00000143363,58497,1,150980896,151008189,3001,27294,0.109950905
ENSG00000121310,55268,1,53361656,53392884,2593,31229,0.083031797
ENSG00000020633,864,1,25226002,25291612,4447,65611,0.067778269
ENSG00000143473,3756,1,210856555,211307457,3208,450903,0.007114612
ENSG00000117614,25949,1,25549170,25558993,1345,9824,0.136909609
ENSG00000117625,55758,1,211431719,211489727,5180,58009,0.089296488
ENSG00000162576,54587,1,1288069,1297157,2835,9089,0.311915502
ENSG00000116171,6342,1,53392901,53517375,6457,124475,0.05187387
ENSG00000163141,149428,1,151009046,151020076,2500,11031,0.226634031
ENSG00000082512,7188,1,211499957,211548288,4100,48332,0.084829926
ENSG00000175756,54998,1,1309110,1310875,1410,1766,0.798414496
ENSG00000198570,343035,1,211649864,211666259,4266,16396,0.260185411
ENSG00000170385,7779,1,211744910,211752084,5474,7175,0.762926829
ENSG00000143443,54964,1,151020216,151024462,2096,4247,0.493524841
ENSG00000117650,4751,1,211836114,211848960,2807,12847,0.21849459
ENSG00000174348,127435,1,53527854,53551174,3287,23321,0.140945929
ENSG00000197622,56882,1,151023447,151042801,3634,19355,0.187755102
ENSG00000123684,9926,1,211916799,212004114,8571,87316,0.098160704
ENSG00000162383,6512,1,53552855,53608289,3384,55435,0.061044466
ENSG00000213190,10962,1,151030234,151040970,4072,10737,0.379249325
ENSG00000157184,1376,1,53662101,53679869,3094,17769,0.174123473
ENSG00000162384,54987,1,53679771,53686289,1085,6519,0.16643657
ENSG00000143493,25896,1,212113741,212208884,4417,95144,0.046424367
ENSG00000143458,126626,1,151043054,151098018,8996,54965,0.163667789
ENSG00000221978,81669,1,1321091,1334708,3147,13618,0.231091203
ENSG00000162385,55110,1,53692564,53704282,756,11719,0.064510624
ENSG00000162385,4116,1,53692564,53704282,756,11719,0.064510624
ENSG00000117616,101928189,1,25568728,25664704,1976,95977,0.020588266
ENSG00000117616,57035,1,25568728,25664704,1976,95977,0.020588266
ENSG00000157193,7804,1,53711217,53793742,4688,82526,0.05680634
ENSG00000143434,10500,1,151104161,151119104,5397,14944,0.361148287
ENSG00000143476,51514,1,212208919,212280742,4573,71824,0.063669526
ENSG00000224870,,1,1334902,1337426,2057,2525,0.814653465
ENSG00000143006,63948,1,53925072,53933161,1910,8090,0.236093943
ENSG00000066027,5525,1,212458879,212535200,3410,76322,0.044679123
ENSG00000187010,6007,1,25598884,25656936,3100,58053,0.05339948
ENSG00000242485,55052,1,1337288,1342693,1766,5406,0.326674066
ENSG00000174332,148979,1,53971910,54199877,2812,227968,0.012335065
ENSG00000065600,55248,1,212537273,212588243,2664,50971,0.052265013
ENSG00000235098,441869,1,1353800,1357149,2644,3350,0.789253731
ENSG00000163154,79626,1,151129105,151132225,1178,3121,0.377443127
ENSG00000117691,29937,1,212606229,212619714,942,13486,0.069850215
ENSG00000058804,55706,1,54231133,54304533,5134,73401,0.069944551
ENSG00000163156,100534012,1,151129140,151142773,2124,13634,0.155787003
ENSG00000163156,100534012,1,151129140,151142773,2124,13634,0.155787003
ENSG00000163156,79005,1,151129140,151142773,2124,13634,0.155787003
ENSG00000163156,79005,1,151129140,151142773,2124,13634,0.155787003
ENSG00000162772,467,1,212738676,212794119,2495,55444,0.045000361
ENSG00000205116,643965,1,1361508,1363167,492,1660,0.296385542
ENSG00000179403,64856,1,1370241,1378262,5065,8022,0.631388681
ENSG00000162771,149647,1,212797789,212800120,2332,2332,1
ENSG00000123685,55509,1,212859760,212873327,980,13568,0.072228774
ENSG00000215915,219293,1,1385069,1405538,3859,20470,0.188519785
ENSG00000163155,388695,1,151132224,151138424,2508,6201,0.404450895
ENSG00000160072,83858,1,1407143,1433228,2562,26086,0.098213601
ENSG00000117697,25936,1,212899495,212965124,3429,65630,0.052247448
ENSG00000163157,29765,1,151142462,151148760,1268,6299,0.201301794
ENSG00000203705,128387,1,212965170,212989968,3097,24799,0.124884068
ENSG00000058799,54432,1,54317392,54356407,2079,39016,0.053285831
ENSG00000163159,6944,1,151142463,151167797,1560,25335,0.061574896
ENSG00000211452,1733,1,54356912,54376759,1971,19848,0.099304716
ENSG00000185523,149643,1,213003483,213020991,506,17509,0.028899423
ENSG00000162769,28982,1,213031597,213072705,5939,41109,0.144469581
ENSG00000081870,51668,1,54382247,54411602,2374,29356,0.080869328
ENSG00000183726,23585,1,25664408,25688852,2683,24445,0.109756596
